" Copy","  Kopia"
"Newsletter","Newsletter"
"Newsletter Message Preview","Podgląd newslettera"
"Newsletter Problem Reports","Raporty problemów z wysyłką newslettera"
"Newsletter Queue","Kolejka newslettera"
"Newsletter Section","Sekcja newslettera"
"Newsletter Sign-up:","Zapisz się do Newslettera"
"Newsletter Styles","Style newslettera"
"Newsletter Subscribers","Subskrybenci newslettera"
"Newsletter Subscription","Subskrypcja newslettera"
"Newsletter Subscription Form Before","Przed formularzem subskrypcji newslettera"
"Newsletter Subscriptions","Subskrypcje newslettera"
"Newsletter Templates","Szablony newslettera"
"Newsletter subscription confirmation","Potwierdzenie subskrypcji newslettera"
"Newsletter subscription success","Udana subskrypcja newslettera"
"Newsletter unsubscription success","Udane usunięcie subskrypcji newslettera"
"No Templates Found","Nie znaleziono szablonów"
"No problems found.","Nie znaleziono problemów"
"No subscribers selected.","Nie wybrano żadnych subskrybentów"
"Not Activated","Nieaktywny"
"Not Sent","Nie wysłane"
"Pause","Pauza"
"Paused","Zatrzymany"
"Please enter a valid email address.","Proszę wpisać poprawny adres e-mail"
"Please enter new template name","Podaj nową nazwę szablonu"
"Please refer to exeption.log","Zobacz doniesienie w logu wyjątków"
"Please select subscriber(s)","Wybierz subskrybentów"
"Preview","Podgląd"
"Preview Template","Podgląd szablonu"
"Processed","Przetworzona"
"Queue Date Start","Start kolejki"
"Queue Finish","Koniec kolejki"
"Queue Information","Informacje o kolejce"
"Queue Newsletter...","Kolejka newslettera..."
"Queue Start","Start kolejki"
"Queue Subject","Temat kolejki"
"Recipients","Odbiorcy"
"Reset","Resetuj"
"Resume","Wznów"
"Return HTML Version","Zwróć wersję HTML"
"Save As","Zapisz jako"
"Save Newsletter","Zapisz newsletter"
"Save Template","Zapisz szablon"
"Save and Resume","Zapisz i wznów"
"Selected problem subscribers have been unsubscribed.","Subskrybenci, dla których wystąpił zaznaczony problem zostali usunięci."
"Selected problems have been deleted.","Zaznaczone problemy zostały usunięte."
"Sender","Nadawca"
"Sender Email","E-mail nadawcy"
"Sender Name","Nazwa nadawcy"
"Sending","Wysyłanie"
"Sent","Wysłano"
"Sign Up for Our Newsletter:","Zapisz się do newslettera:"
"Sign up for our newsletter","Zapisz się do newslettera"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Niestety, administrator wyłączył subskrypcje dla gości. Proszę <a href=""%s"">zarejestrować się</a>."
"Start","Start"
"Status","Status"
"Store","Sklep"
"Store View","Widok sklepu"
"Subject","Temat"
"Submit","Wyślij"
"Subscribe","Zapisz się"
"Subscribed","Subskrypcje"
"Subscriber","Subskrybent"
"Subscribers","Subskrybenci"
"Subscribers From","Subskrybenci od"
"Subscription Options","Opcje subskrypcji"
"Success Email Sender","Nadawca wiadomości o powodzeniu"
"Success Email Template","Szablon wiadomości o powodzeniu"
"Template Content","Zawartość szablonu"
"Template Information","Informacje o szablonie"
"Template Name","Nazwa szablonu"
"Template Styles","Style szablonu"
"Template Subject","Temat szablonu"
"Template Type","Typ szablonu"
"Thank you for your subscription.","Dziękujemy za twoją subskrypcję"
"The subscription has been removed.","Subskrypcja została usunięta."
"The subscription has been saved.","Subskrypcja została zapisana."
"There was a problem with the subscription.","Wystąpił problem z subskrypcją"
"There was a problem with the subscription: %s","Wystąpił problem z subskrypcją: %s"
"There was a problem with the un-subscription.","Wystąpił problem podczas usuwania subskrypcji."
"This email address is already assigned to another user.","Ten e-mail jest już przypisany do innego użytkownika."
"Type","Typ"
"Unconfirmed","Niepotwierdzony"
"Unsubscribe","Zrezygnuj"
"Unsubscribe Selected","Wypisz zaznaczonych"
"Unsubscribed","Usunięte subskrypcje"
"Unsubscription Email Sender","Nadawca wiadomości wypisującej"
"Unsubscription Email Template","Szablon wiadomości wypisującej"
"View Newsletter","Zobacz newsletter"
"Website","Witryna"
"You have been unsubscribed.","Twoja subskrypcja została usunięta."
"Your subscription has been confirmed.","Twoja subskrypcja została potwierdzona."
