"-OR-","LUB"
"Address Verification System Response","Odpowiedź systemu weryfikacji adresu"
"Advanced Settings","Zaawansowane ustawienia"
"All the address information matched","Wszystki informacje o adresie pasują."
"Allow in Billing Agreement Wizard","Dopuść w wizardzie umowy rozliczeniowej"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","Dostępne wartości: "paypal","primary" (domyślnie), twoja_wlasna_wartosc (własny styl strony płatności z twojego konta handlowca)."
"Allowed Credit Card Types","Dopuszczone typy kart kredytowych"
"Also affects mini-shopping cart.","Również dotyczy mini-koszyka."
"Ask Customer","Zapytaj klienta"
"Attempted Authentication, Bad Result","Próba autentykacji, błędny wynik"
"Attempted Authentication, Good Result","Próba autentykacji, poprawny wynik"
"Auction Payment other than through eBay","Płatności aukcyjne inne niż przez eBay"
"Authenticated, Bad Result","Autentykowany, błędny wynik"
"Authenticated, Good Result","Autentykowany, poprawny wynik"
"Authorization","Autoryzacja"
"Authorization Honor Period (days)","Okres honorowania autoryzacji (dni)"
"Authorization expired.","Autoryzacja wygasła."
"Authorization transaction is required to void.","Autoryzacja transakcji jest wymagana do wyzerowania."
"Authorization was voided by merchant.","Autoryzacja anulowana przez handlowca."
"Authorized amount of %s.","Autoryzowana kwota %s."
"Authorizing amount of %s is pending approval on gateway.","Autoryzowana kwota %s oczekuej na zatwierdzenie w bramce."
"Auto","Auto"
"AutoSweep","AutoSweep"
"Available Balance","Dostępny bilans"
"Balance Manager Account Bonus","Bonus konta zarządzanai bilansem"
"Basic Settings - PayPal Express Checkout","Podstawowe ustawienia - PayPal Express Checkout"
"Basic Settings - PayPal Integral Evolution","Podstawowe ustawienia - PayPal Integral Evolution"
"Basic Settings - PayPal Pasarela integral","Podstawowe ustawienia - PayPal Pasarela integral"
"Basic Settings - PayPal Payflow Link","Podstawowe ustawienia - PayPal Payflow Link"
"Basic Settings - PayPal Payflow Pro","Podstawowe ustawienia - PayPal Payflow Pro"
"Basic Settings - PayPal Payments Advanced","Podstawowe ustawienia - PayPal Payments Advanced"
"Basic Settings - PayPal Payments Pro","Podstawowe ustawienia - PayPal Payments Pro"
"Basic Settings - PayPal Payments Pro Hosted Solution","Podstawowe ustawienia - PayPal Payments Pro Hosted Solution"
"Basic Settings - PayPal Payments Standard","Podstawowe ustawienia - PayPal Payments Standard"
"Basic Settings - PayPal Pro","Podstawowe ustawienia - PayPal Pro"
"Basic Settings - PayPal Website Payments Plus","Podstawowe ustawienia - PayPal Website Payments Plus"
"Basic Settings - PayPal Website Payments Pro","Podstawowe ustawienia - PayPal Website Payments Pro"
"Basic Settings - PayPal Website Payments Pro Hosted Solution","Podstawowe ustawienia - PayPal Website Payments Pro Hosted Solution"
"Basic Settings - PayPal Website Payments Pro Payflow Edition","Podstawowe ustawienia - PayPal Website Payments Pro Payflow Edition"
"Basic Settings - PayPal Website Payments Standard","Podstawowe ustawienia - PayPal Website Payments Standard"
"Billing Address","Adres rozliczeniowy"
"Billing Agreement Signup","Rejestracja umowy rozliczeniowej"
"Bonus for first ACH Use","Bonus za pierwsze użycie ACH"
"Both section above must be complete. ","Obie powyższe sekcje muszą być wypełnione. "
"Buyer Credit Payment","Płatność kredytowa klienta"
"Buyer claims that a possible duplicate payment was made to the merchant.","Buyer claims that a possible duplicate payment was made to the merchant."
"Buyer claims that he did not receive goods or service.","Buyer claims that he did not receive goods or service."
"Buyer claims that he/she did not authorize transaction.","Buyer claims that he/she did not authorize transaction."
"Buyer claims that the goods or service received differ from merchant���s description of the goods or service.","Buyer claims that the goods or service received differ from merchant���s description of the goods or service."
"Buyer claims that the received merchandise is unsatisfactory, defective, or damaged.","Buyer claims that the received merchandise is unsatisfactory, defective, or damaged."
"Buyer\'s Tax ID","ID podatkowe klienta"
"Buyer\'s Tax ID Type","Typ ID podatkowego klienta"
"By default it is ""reports.paypal.com"".","Domyślnie to jest "reports.paypal.com"."
"CNPJ","CNPL"
"CPF","CPF"
"CVV Entry is Editable","Pole CVV jest edytowalne"
"CVV2 Check Result by PayPal","Rezultat sprawdzenia CVV2 przez PayPal"
"Can not send new order email.","Nie można wysłać e-mail nowego zamówienia."
"Cannot create target file for reading reports.","Nie można utworzyć docelowego pliku dla odczytania raportów."
"Centinel API URL","URL API Centinel"
"Centinel Custom API URL","Niestandardowy URL API Centinel"
"Charge-off","Charge-off"
"Chargeback","Zwrot"
"Checkout with PayPal","Zamówienie z PayPal"
"Choose a secure bundled payment solution for your business.","Wybierz bezpieczny pakiet płatności dla swojego biznesu."
"City","Miasto"
"Click here if you are not redirected within 10 seconds...","Kliknij tutaj jeśli nie zostaniesz przekierowany w ciągu 10 sekund..."
"Close","Zamknij"
"Company","Firma"
"Complaint","Skarga"
"Completion Date","Data zakończenia"
"Configure","Konfiguruj"
"Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site.","Połącz swoje konto handlowe ze zgodną z PCI bramką płatności, która pozwoli klientom płacić bez opuszczania Twojej strony."
"Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site.","Połącz swoje konto handlowe z w pełni dostosowywalną bramką płatności, która pozwoli klientom płacić bez opuszczania Twojej strony."
"Connecting to PayPal SFTP server to fetch new reports. Are you sure you want to proceed?","Łączenie do serwera SFTP PAyPal aby pobrać nowe raporty. Czy na pewno chcesz kontynuować?"
"Continue","Kontynuuj"
"Countries Payment Applicable From","Formularz kwalifikowanych płatności krajów"
"Country","Kraj"
"Coupon Redemption","Realizacja kuponu"
"Credit","Kredyt"
"Credit Card Settings","Ustawienia kart kredytowych"
"Currency Conversion required to cover negative balance","Konwersja waluty jest wymagana, aby pokryć negatywny bilans."
"Custom","Niestandardowe"
"Custom Endpoint Hostname or IP-Address","Niestandardowa nazwa hosta lub adres IP dla punktu końcowego"
"Custom Path","Niestandardowa ścieżka"
"Customer Information","Informacje o kliencie"
"Customer did not include a confirmed address.","Klient nie załączył potwierdzonego adresu."
"Customer failed to pay.","Klient nie zapłacił."
"Customer used non-confirmed address.","Klient użył niepotwierdzonego adresu."
"Daily","Codziennie"
"Debit","Debet"
"Debit Card Cash Back","Dodatkowa gotówka z karty debetowej"
"Debit Card Transaction","Trnasakcja kartą debetową"
"Debit or Credit","Debetowa lub kredytowa"
"Debug Mode","Tryb debugowania"
"Direct Payment API","API bezpośrednich płatności"
"Discount","Zniżka"
"Display Express Checkout in the Payment Information step","Display Express Checkout in the Payment Information step"
"Displays on catalog pages and homepage.","Wyświetla na stronach katalogu i stronie głownej."
"Dispute","Dyskutuj"
"Don't have a PayPal account? Simply enter your email address.","Nie masz konta PayPal? Po prostu podaj swój adres e-mail."
"Dynamic","Dynamiczny"
"EFT Funding (German banking)","EFT Funding (banki niemieckie)"
"Edit Shopping Cart","Edytuj koszyk"
"Email Address","Adres e-mail"
"Email Associated with PayPal Merchant Account","E-mail powiązany z kontem handlowca PayPal"
"Email Associated with PayPal Merchant Account (Optional)","E-mail powiązany z kontem handlowca PayPal (opcjonalne)"
"Enable Automatic Fetching","Włącz automatyczne pobierania"
"Enable Express Checkout","Włącz Express Checkout"
"Enable PayPal Guest Checkout","Włącz gościnne zamówienia z PayPal"
"Enable Payflow Link","Włącz Payflow Link"
"Enable SSL verification","Włącz weryfikację SSL"
"Enable this Solution","Włącz to rozwiązanie"
"Enabled","Włączone"
"Event","Wydarzenia"
"Event Code","Kod wydarzenia"
"Every 10 days","Co 10 dni"
"Every 14 days","Co 14 dni"
"Every 3 days","Co 3 dni"
"Every 30 days","Co 30 dni"
"Every 40 days","Co 40 dni"
"Every 7 days","Co 7 dni"
"Exact Match. Address and Postal Code. International","Dokładne dopasowania. Adres i kod pocztowy. Międzynarodowe"
"Exact Match. Address and Postal Code. UK-specific","Dokładne dopasowania. Adres i kod pocztowy. Tylko UK"
"Exact Match. Address and nine-digit ZIP code","Dokładne dopasowania. Adres i 9 cyfrowy kod pocztowy"
"Explanation: %s.","Wyjaśnienie: %s"
"Express Checkout","Express Checkout"
"Express Checkout APIs","API Express Checkout"
"Express Checkout and Order have been canceled.","Express Checkout i zamówienie zostały anulowane."
"Express Checkout has been canceled.","Express Checkout został anulowany."
"Failed to fetch reports from '%s@%s'.","Nie udało się pobrać raportów z '%s@%s'."
"Fax","Faks"
"Fee Amount","Kwota opłaty"
"Fee Debit or Credit","Opłata debetowa lub kredytowa"
"Fee Reversal","Odwrócenie opłaty"
"Fee: Foreign ACH Withdrawal","Opłata: zagraniczna wypłata ACH"
"Fee: Mass Pay Request","Opłata: polecenie masowej płatności"
"Fee: Web Site Payments Pro Account Monthly","Opłata: konto miesięczne Web Site Payments Pro"
"Fee: WorldLink Check Withdrawal","Opłata: wypłata czeku WorldLink"
"Fetch","Pobierz"
"Fetch Updates","Pobierz aktualizacje"
"Fetched %s report rows from '%s@%s'.","Pobrano %s rzędów raportu z '%s@%s'."
"For Virtual Quotes Only","Tylko dla wirtualnych wycen"
"Frontend Experience Settings","Ustawienia wyglądu"
"Funding","Fundowanie"
"General (Authorization)","Ogólne (autoryzacja)"
"General (Dividend)","Ogólne (dywidenda)"
"General (Funds Transfer from PayPal Account to Another)","Ogólne (fundusze transferowane z konta PayPal do innego)"
"General (Purchase with a credit card)","Ogólne (zakup z kartą kredytowa)"
"General Adjustment without businessrelated event","Ogólne dostosowanie bez wydarzenia powiązanego biznesowo"
"General Currency Conversion","Ogólna konwersja walut"
"General Funding of PayPal Account ","Ogólne żródło zasilania konta PayPal "
"General Redemption","Ogólne wykorzystanie"
"General Withdrawal from PayPal Account","Ogólne wypłaty z konta PayPal"
"General. Product no longer supported","Ogólne. Produkt już nie wspierany"
"General: Use of PayPal account for purchasing as well as receiving payments","Ogólne: uzycie konta PayPal do zakupów i odbierania płatności."
"General: Withdrawal from PayPal Account","Ogólne: wypłaty z konta PayPal"
"General: Withdrawal to Non-Bank Entity","Ogólne: wypłaty do jednostek niebankowych"
"General: adjustment of a type not belonging to the other T12xx categories","General: adjustment of a type not belonging to the other T12xx categories"
"General: bonus of a type not belonging to the other T08xx categories","General: bonus of a type not belonging to the other T08xx categories"
"General: event not yet categorized","General: event not yet categorized"
"General: non-payment fee of a type not belonging to the other T01xx categories","General: non-payment fee of a type not belonging to the other T01xx categories"
"General: received payment of a type not belonging to the other T00xx categories","General: received payment of a type not belonging to the other T00xx categories"
"General: reversal of a type not belonging to the other T11xx categories","General: reversal of a type not belonging to the other T11xx categories"
"General: temporary hold of a type not belonging to the other T15xx categories","General: temporary hold of a type not belonging to the other T15xx categories"
"Get Credentials from PayPal","Pobierz dane z PayPal."
"Gift Certificate Payment: purchase of Gift Certificate","Płatność certyfikatem prezentowym: zakup Certyfikatu Prezentowego"
"Gift Certificate Redemption","Wykorzystanie certyfikatu prezentowego"
"Gross Amount","Łączna kwota"
"Header Background Color","Kolor tła nagłowka"
"Header Border Color","Kolor ramki nagłówka"
"Header Image URL","URL obrazka nagłówka"
"Help","Pomoc"
"Hidden Virtual PayPal Debit Card Transaction","Ukryta transakcja wirtualnej karty debetowej PayPal"
"Hold for Dispute Investigation","Zatrzymaj w celu dochodzenia"
"IPN ""%s"".","IPN ""%s""."
"IPN ""%s"". %s Transaction amount %s. Transaction ID: ""%s""","IPN ""%s"". %s Transaction amount %s. Transaction ID: ""%s"""
"IPN ""%s"". A dispute has been resolved and closed. %s Transaction amount %s.","IPN ""%s"". A dispute has been resolved and closed. %s Transaction amount %s."
"IPN ""%s"". Case type ""%s"". Case ID ""%s"" %s","IPN ""%s"". Case type ""%s"". Case ID ""%s"" %s"
"IPN verification ""%s"".","Weryfikacja IPN ""%s""."
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Domyślna wartość będzie użyta, jeśli puste. Własny URL może być dostarczony w umowie CardinalCommerce."
"If not specified, Default Country from General Config will be used","Jeśli nie wybrane, domyślny kraj z ogólnych ustawień będzie użyty"
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","Jeśli ta opcja jest wybrana, klienta może zmeinić adres dostawy i metodę dostawy na stronie PayPal. W trybie produkcyjnym działa tylko przez protokół HTTPS."
"If you do not have multiple users set up on your account, please re-enter your Vendor/Merchant Login here.","If you do not have multiple users set up on your account, please re-enter your Vendor/Merchant Login here."
"Impossible to issue a refund transaction because the capture transaction does not exist.","Nie można wydać transakcji refundacji ponieważ przechwycona transakcja nie istnieje."
"Incentive","Zachęta"
"Initiation Date","Data zainicjowania"
"Integral Evolution","Ewolucja integralna"
"Invoice ID","ID faktury"
"Issuer Liability","Odpowiedzialność wystawcy"
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","Zalecane jest ustawienia tej wartości na ""Karta debetowa lub kredytowa"" na każy widok sklepu."
"It is recommended to set this value to ""PayPal"" per store views.","Zalecane jest ustawienia tej wartości na ""PayPal"" na każy widok sklepu."
"Items in Your Shopping Cart","Produkty w koszyku"
"Last Correlation ID","Ostatnie ID korelacji"
"Last Transaction ID","Ostatnie ID transakcji"
"Learn More","Dowiedz się więcej"
"Login","Logowanie"
"Mass Pay Payment","Płatności masowe"
"Matched (CVV2)","Pasujące (CVV2)"
"Matched (CVV2CSC)","Pasujące (CVV2CSC)"
"Matched Address only (no ZIP)","Pasujący tylko adres (bez kodu)"
"Matched Address only (no ZIP). International","Pasujący tylko adres (bez kodu). Międzynarodowe"
"Matched Postal Code only (no Address)","Pasujący tylko kod pocztowy (bez adresu)"
"Matched five-digit ZIP only (no Address)","Pasujący tylko 5-cyfrowy kod pocztowy (bez adresu)"
"Matched whole nine-didgit ZIP (no Address)","Pasujący cały 9-cyfrowy kod pocztowy (bez adresu)"
"Merchant Account","Konto handlowca"
"Merchant Country","Kraj handlowca"
"Merchant Liability","Odpowiedzialność handlowca"
"Merchant Location","Lokalizacja handlowca"
"Merchant Protection Eligibility","Kwalifikowalność ochrony handlowca"
"Merchant Referral Bonus","Bonus za polecenia handlowca"
"Merchant account doesn\'t have a withdrawal mechanism. Merchant must manually accept or deny this payment from your Account Overview.","Merchant account doesn\'t have a withdrawal mechanism. Merchant must manually accept or deny this payment from your Account Overview."
"Merchant account is not verified.","Konto handlowca nie jest zweryfikowane."
"Merchant denied this pending payment.","Handlowiec odrzucił tę oczekującą płatność."
"Merchant holds a non-U.S. account and does not have a withdrawal mechanism.","Handlowiec posiada konto z poza USA i nie ma mechanizmu wycofywania."
"Merchant must upgrade account to Business or Premier status.","Merchant must upgrade account to Business or Premier status."
"Merchant reference ID format is not supported.","Format ID referencji handlowca nie jest obsługiwany."
"Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.","Handlowiec musi zgłosić się do PayPal w celu włączenia umów rozliczeniowych. Nie uruchamiaj tej opcji dopóki PayPal nie potwierdz, że umowy rozliczeniowe są uruhomione dla twojego konta handlowca."
"Mobile Payment (made via a mobile phone)","Mobilne płatności (wykonane z telefonu komórkowego)"
"Multi-currency issue. Merchant must manually accept or deny this payment from PayPal Account Overview.","Multi-currency issue. Merchant must manually accept or deny this payment from PayPal Account Overview."
"N/A","N/D"
"N/A. Address not checked, or acquirer had no response. Service not available","N/D. Adres niesprawdzony, lub nie było odpowiedzi. Usług nie jest dostępna"
"N/A. Global Unavailable","N/D. Globalnie niedostepne"
"N/A. International Unavailable","N/D. Niedostepne międzynarodowo"
"N/A. Merchant has indicated that CVV2 is not present on card","N/D. Handlowiec zaznaczył, że na karcie brak CVV2"
"N/A. No response","N/D. Brak odpowiedzi"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","N/D. Nie dozwolone dla transakcji MOTO (interner/telefon)"
"N/A. Not processed","N/D. Nie przetworzono"
"N/A. Retry","N/D. Spróbuj ponownie"
"N/A. Service not Supported","N/D. Usługa niewspierana"
"N/A. Service not available","N/D. Usługa niedostępna"
"N/A. Service not supported","N/D. Usługa niewspierana"
"N/A. The merchant did not provide AVS information","N/D. Handlowiec nie dostarcza informacji AVS"
"N/A. The merchant has not implemented CVV2 code handling","N/D. Handlowiec nie zaimplementował obsługi kodu CVV2"
"N/A. Unavailable","N/D. Niedostepne"
"Negative Balance","Ujemny bilans"
"Never","Nigdy"
"No","Nie"
"No Details matched","Szczegóły nie pasują"
"No Details matched. International","Szczegóły nie pasują. Międzynarodowo"
"No Liability Shift","Brak zmiany odpowiedzialności"
"No Logo","Brak logo"
"No match","Brak zgodności"
"None of the address information matched","Żadna z informacji adresowych nie porównana"
"Not sure what PayPal payment method to use? Click <a href=""%s"" target=""_blank"">here</a> to learn more.","Not sure what PayPal payment method to use? Click <a href=""%s"" target=""_blank"">here</a> to learn more."
"Note: %s","Informacja: %s"
"Nothing to fetch because of an empty configuration.","Nie ma nic do pobrania z powodu pustej konfiguracji."
"Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available.","Zauważ, że PayPal może obsłużyć d 10 opcji dostawy. To jest powodem, dlaczego Magento przesyła tylk o10 majtańszych opcji dostawy, jeśli więcej niż 10 jest dostępnych."
"Notified customer about creditmemo #%s.","Klient powiadomiony o fakturze korygującej nr %s."
"Notified customer about invoice #%s.","Klient powiadomiony o fakturze nr %s."
"Now accepting PayPal (150 X 40)","Akceptujemy teraz PayPal (150 x 40)"
"Now accepting PayPal (150 X 60)","Akceptujemy teraz PayPal (150 x 60)"
"Number of Child Authorizations","Ilość podrzędnych autoryzacji"
"Open Authorization","Otwarta autoryzacja"
"Order","Zamówienie"
"Order ID","ID zamówienia"
"Order Valid Period (days)","Okres ważności zamówienia (dni)"
"Ordered amount of %s.","Kwota zamówienia %s"
"Ordering amount of %s is pending approval on gateway.","Kwota zamówienia %s oczekuje na zatwierdzenie w bramce."
"Page Background Color","Kolor tła strony"
"Page Style","Styl strony"
"Part of the address information matched","Część informacji adresowych nie porównana"
"Partner","Partner"
"Pasarela integral","Pasarela integral"
"Password","Hasło"
"PayPal All-in-One Payment Solutions&nbsp;&nbsp;<i>Accept and process credit cards and PayPal payments.</i>","PayPal All-in-One Payment Solutions&nbsp;&nbsp;<i>Accept and process credit cards and PayPal payments.</i>"
"PayPal Balance Manager function of PayPal account","Funkcja zarządzania bilansem PayPal w koncie PayPal"
"PayPal Billing Agreement Settings","Ustawienia umowy rozliczeniowej PayPal"
"PayPal Buyer Warranty Bonus","PayPal Buyer Warranty Bonus"
"PayPal Debit Card Cash Advance","PayPal Debit Card Cash Advance"
"PayPal Debit Card Withdrawal from ATM","PayPal Debit Card Withdrawal from ATM"
"PayPal Express Checkout","PayPal Express Checkout"
"PayPal Express Checkout Shortcut Wrapper","PayPal Express Checkout Shortcut Wrapper"
"PayPal Express Checkout Token does not exist.","PayPal Express Checkout Token does not exist."
"PayPal Express Checkout is not enabled.","PayPal Express Checkout is not enabled."
"PayPal Express Order Review Form","Formularz opinii zakupów PayPal Express"
"PayPal Fee Information","PayPal Fee Information"
"PayPal Merchant Pages Style","PayPal Merchant Pages Style"
"PayPal Payment Gateways","PayPal Payment Gateways"
"PayPal Payment Solutions","PayPal Payment Solutions"
"PayPal Pro","PayPal Pro"
"PayPal Product Logo","PayPal Product Logo"
"PayPal Protection Bonus","PayPal Protection Bonus"
"PayPal Reference ID","PayPal Reference ID"
"PayPal Reference ID Type","PayPal Reference ID Type"
"PayPal Settlement Reports","PayPal Settlement Reports"
"PayPal certificate does not exist.","PayPal certificate does not exist."
"PayPal certificate file is empty.","PayPal certificate file is empty."
"PayPal does not support processing orders with zero amount. To complete your purchase, proceed to the standard checkout process.","PayPal does not support processing orders with zero amount. To complete your purchase, proceed to the standard checkout process."
"PayPal gateway has rejected request. %s","PayPal gateway has rejected request. %s"
"PayPal recommends that you set up an additional User on your account at manager.paypal.com","PayPal recommends that you set up an additional User on your account at manager.paypal.com"
"PayPal recommends you set up an additional User on your account at manager.paypal.com, instead of entering your admin username and password here. This will enhance your security and prevent service interruptions if you later change your password. If you do not want to set up an additional User, you can re-enter your Merchant Login here.","PayPal recommends you set up an additional User on your account at manager.paypal.com, instead of entering your admin username and password here. This will enhance your security and prevent service interruptions if you later change your password. If you do not want to set up an additional User, you can re-enter your Merchant Login here."
"PayPal response hasn't required fields.","PayPal response hasn't required fields."
"PayPal retains reports for 45 days.","PayPal retains reports for 45 days."
"PayPal/Centinel Electronic Commerce Indicator","PayPal/Centinel Electronic Commerce Indicator"
"PayPal/Centinel Visa Payer Authentication Service Result","PayPal/Centinel Visa Payer Authentication Service Result"
"Payer Address ID","ID adresu płatnika"
"Payer Address Status","Status adresu płatnika"
"Payer Email","E-mail płatnika"
"Payer ID","ID płatnika"
"Payer Status","Status płatnika"
"Payer is not identified.","Płatnik nie jest zidentyfikowany."
"Payflow Link","Payflow Link"
"Payflow Link (Includes Express Checkout)","Payflow Link (Includes Express Checkout)"
"Payflow Pro","Payflow Pro"
"Payflow Pro (Includes Express Checkout)","Payflow Pro (Includes Express Checkout)"
"Payflow Pro and Express Checkout","Payflow Pro and Express Checkout"
"Payment Action","Akcja płatności"
"Payment Applicable From","Formularz kawlifikowanych płatności"
"Payment Refund initiated by merchant","Zwrot płatności zainicjowany przez handlowca"
"Payment has been declined. Please try again.","Płatność została odrzucona. Proszę spróbować ponownie."
"Payment is being reviewed by PayPal for risk.","Payment is being reviewed by PayPal for risk."
"Payment transactions disallow storing objects.","Trnasakcja płatności nie zezwala na przechowywanie obiektów."
"Payment was made to an email address that is not yet registered or confirmed.","Payment was made to an email address that is not yet registered or confirmed."
"Payments Advanced","Payments Advanced"
"Payments Advanced (Includes Express Checkout)","Payments Advanced (Includes Express Checkout)"
"Payments Pro (Includes Express Checkout)","Payments Pro (Includes Express Checkout)"
"Payments Pro Hosted Solution","Payments Pro Hosted Solution"
"Payments Pro and Express Checkout","Payments Pro and Express Checkout"
"Payments Standard","Payments Standard"
"Payments by PayPal (150 X 40)","Płatności PayPal (150 x 40)"
"Payments by PayPal (150 X 60)","Płatności PayPal (150 x 60)"
"Pending PayPal","Oczekujący PayPal"
"Place Order","Złóż zamówienie"
"Please agree to all the terms and conditions before placing the order.","Proszę zatwierdzić warunki zamawiania przed jego złożeniem."
"Please contact PayPal Customer Service.","Please contact PayPal Customer Service."
"Please do not refresh the page until you complete payment.","Nie odświeżaj strony dopóki płatność nie zostanie zakończona. danych"
"Please re-enable the previously enabled payment solutions.","Please re-enable the previously enabled payment solutions."
"Please select a shipping method...","Proszę wybrać metodę dostawy..."
"Please select region, state or province","Wybierz województwo"
"Please update order data to get shipping methods and rates","Please update order data to get shipping methods and rates"
"Points Incentive Redemption","Wykorzystanie punktów zachęty"
"Postage Payment to either USPS or UPS","Pocztowa płatność do USPS lub UPS"
"Preapproved Payment (BillUser API), either sent or received","Wcześniej zatwierdzona płatność (API BillUser), wysłana lub otrzyman"
"Preapproved Payment ID","ID wcześniej zatwierdzonej płatności"
"Price","Cena"
"Pro","Pro"
"Process payments using your own internet merchant account.","Process payments using your own internet merchant account."
"Product Name","Nazwa produktu"
"Proxy Host","Host proxy"
"Proxy Port","Port proxy"
"Qty","Ilość"
"Reauthorization","Ponowna autoryzacja"
"Reference Information","Informacje referencji"
"Reimbursement for a chargeback.","Reimbursement for a chargeback."
"Reimbursement of Chargeback","Reimbursement of Chargeback"
"Report Date","Data raportu"
"Reports","Raporty"
"Requested %s and configured %s merchant emails do not match.","Requested %s and configured %s merchant emails do not match."
"Require CVV Entry","Wymaga wpisu CVV"
"Require Customer's Billing Address","Require Customer's Billing Address"
"Required PayPal Settings","Required PayPal Settings"
"Required Settings","Required Settings"
"Reversal","Reversal"
"Reversal of General Account Hold","Reversal of General Account Hold"
"Reversal of Points Usage","Reversal of Points Usage"
"Reversal of an adjustment.","Reversal of an adjustment."
"Reversal of hold for Dispute Investigation","Reversal of hold for Dispute Investigation"
"Review Order","Podgląd zamówienia"
"Reward Voucher Redemption","Wykorzystanie kuponu nagrody"
"SFTP Credentials","Dane SFTP"
"Sale","Sprzedaż"
"Sales","Sprzedaże"
"Same as shipping","Same as shipping"
"Sandbox Credentials","Dane środowiska testowego"
"Sandbox Mode","Tryb testowy"
"Schedule","Zaplanuj"
