"# of Use","ilość użyć"
"%1$s incl tax.","%1$s z podatkiem"
"%s - %s","%s - %s"
"%s Item(s)","%s produkt(ów)"
"%s and above","%s i więcej"
"Attribute ""%s"" is required.","Cecha "%s" jest wymagana."
"Attribute Information","Informacje cechy"
"Attribute Model","Model cechy"
"Attribute Name:","Nazwa cechy:"
"Attribute Set","Zestaw cech"
"Attribute Sets","Zestawy cech"
"Attribute add","Dodaj cechę"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Kod cechy jest niepoprawny. Prosimy o używanie jedynie liter (a-z), cyfr (0-9) lub podkreślnika (_) w tym polu, pierwszy znak powinien być literą."
"Attribute group with the \"/name/\" name already exists","Zestaw cech o nazwie \"/name/\" już istnieje"
"Attribute group with the \/name/\ name already exists","Zestaw cech o nazwie \"/name/\" już istnieje"
"Attribute remove","Usuń cechę"
"Attribute with the same code already exists","Cecha o podanym kodzie już istnieje"
"Attributes","Cechy"
"Attrribute names can be specified per store.","Nazwy cech mogą być sprecyzowane osobno dla każdego sklepu."
"Autogenerate","Generuj automatycznie"
"Availability:","Dostępność:"
"Back","Powrót"
"Backend Model","Model administracyjny"
"Backend Table","Tabela administracyjna"
"Backend Table Title","Tytuł tabeli administracyjnej"
"Backorders","Rezerwacje"
"Based On","Bazujący na"
"Before Order Confirmation","Przed potwierdzeniem zamówienia"
"Best Value","Najlepsza wartość"
"Block after Info Column","Blok za kolumną informacyjną"
"Bottom Block Options Wrapper","Opakowanie dolnego bloku opcji"
"Bottom/Left","Dół/lewo"
"Bottom/Right","Dół/prawo"
"Browse By","Przeglądaj wg"
"Bundle Items","Produkty w pakiecie"
"Buy %1$s","Kup %1$s"
"Buy %1$s for","Kup %1$s za"
"Buy %1$s for %2$s","Kup %1$s za %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Kup %1$s za %2$s (%3$s z podatkiem) za każdy"
"Buy %1$s for %2$s each","Kup %1$s za %2$s za każdy"
"Cache Lifetime (Seconds)","Czas ważności cache (sekundy)"
"Cache refresh needed.","Wymagane odświeżenie cache."
"Can be Divided into Multiple Boxes for Shipping","Może być podzielone między wiele paczek dostawy"
"Can be used only with catalog input type Dropdown","Można używać tylko z rozwijaną listą w katalogu"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Może być użyte tylko z polem typu rozwijana lista, wielokrotny wybór i cena"
"Can\'t create image.","Nie można utworzyć obrazu."
"Cancel","Anuluj"
"Cannot create image.","Nie można utworzyć obrazu."
"Cannot create writeable directory '%s'.","Nie można utworzyć zapisywalnego katalogu '%s'."
"Cart Item Attribute","Cecha produktu w koszyku"
"Catalog","Katalog"
"Catalog Category (Anchor)","Kategoria katalogu (zakotwiczona)"
"Catalog Category (Non-Anchor)","Kategoria katalogu (niezakotwiczona)"
"Catalog Category (Without Subcategories)","Kategoria katalogu (bez podkategorii)"
"Catalog Category Link","Link kategorii katalogu"
"Catalog New Products List","Lista nowych produktów katalogu"
"Catalog Price Scope","Zakres cen w katalogu"
"Catalog Product Compare List","Lista porównania produktów katalogu"
"Catalog Product Email to a Friend","Wyślij produkt do znajomego"
"Catalog Product Image Gallery Popup","Nowe okno galerii obrazków produktu"
"Catalog Product Link","Link produktu"
"Catalog Product View (Any)","Widok produktu (dowolny)"
"Catalog Product View (Configurable)","Widok produktu (konfigurowalny)"
"Catalog Product View (Grouped)","Widok produktu (grupowany)"
"Catalog Product View (Simple)","Widok produktu (prosty)"
"Catalog Product View (Virtual)","Widok produktu (wirtualny)"
"Catalog Section","Sekcja katalogu"
"Catalog Seo Sitemap (Category List)","Mapa SEO witryny katalogu (lista kategorii)"
"Catalog Seo Sitemap (Category Tree)","Mapa SEO witryny katalogu (drzewo kategorii)"
"Catalog Seo Sitemap (Common)","Mapa SEO witryny katalogu (ogólna)"
"Catalog Seo Sitemap (Product List)","Mapa SEO witryny katalogu (lista produktów)"
"Catalog URL Rewrites","Przekierowania URL katalogu"
"Catalog product custom option values API","Wartości indywidualnych opcji produktu"
"Catalog product custom options API","API indywidualnych opcji produktu"
"Catalog, Search","Katalog, wyszukiwanie"
"Categories","Kategorie"
"Categories Sitemap","Mapa witryny kategorii"
"Category","Kategoria"
"Category API","API kategorii"
"Category Data","Dane kategorii"
"Category Flat Data","Płaskie dane kategorii"
"Category Link Block Template","Szablon bloku linku kategorii"
"Category Link Inline Template","Szablon linii linku kategorii"
"Category Products","Produkty kategorii"
"Category Top Navigation","Nawigacja górna kategorii"
"Category URL Suffix","Sufiks URL kategorii"
"Category attributes API","API cech kategorii"
"Category move error","Błąd przenoszenia kategorii"
"Category move error %s","Błąd przenoszenia kategorii %s"
"Category move operation is not possible: parent category is equal to child category.","Przeniesienie kategorii jest niemożliwe. Kategoria nadrzędna jest równa podrzędnej."
"Category move operation is not possible: the current category was not found.","Przeniesienie kategorii jest niemożliwe. Kategoria bieżąca nie została znaleziona."
"Category move operation is not possible: the new parent category was not found.","Przeniesienie kategorii jest niemożliwe. Nowa kategoria nadrzędna nie została znaleziona."
"Category must be an instance of Mage_Catalog_Model_Category.","Kategoria musi być instancją Mage_Catalog_Model_Category."
"Center","Środek"
"Change","Zmień"
"Change or Retrieve attribute store view","Zmień lub pobierz atrybuty dla widoku sklepu"
"Change status","Zmień status"
"Check items to add to the cart or","Zaznacz produkty, żeby dodać je do koszyka lub"
"Choose an Option...","Wybierz opcję..."
"Clear All","Wyczyść wszystko"
"Clear Price","Wyczyść cenę"
"Click for price","Kliknij po cenę"
"Close Window","Zamknij okno"
"Collapse All","Zwiń wszystko"
"Comma-separated.","Oddzielone przecinkami"
"Comparable","Porównywalne"
"Comparable on Front-end","Porównywalne w sklepie"
"Comparable on the Frontend","Porównywalne w sklepie"
"Compare","Porównaj"
"Compare Products","Porównaj produkty"
"Conditions Combination","Kombinacja warunków"
"Configurable Product","Produkt konfigurowalny"
"Configurable Product Settings","Ustawienia produkty konfigurowalnego"
"Configure Product","Konfiguruj produkt"
"Continue","Kontynuuj"
"Copy From Configurable","Kopiuj z konfigurowalnego"
"Country/State","Kraj/Województwo"
"Create","Utwórz"
"Create (Upload)","Utwórz (załaduj)"
"Create Empty","Utwórz pusty"
"Create Permanent Redirect for URLs if URL Key Changed","Utwórz stałe przekierowanie dla adresów jeśli klucz URL sie zmienił"
"Create Permanent Redirect for old URL","Utwórz stałe przekierowanie dla starych URL"
"Create Product Settings","Stwórz ustawienia produktu"
"Create Simple Associated Product","Utwórz prosty produkt składowy konfiguracji"
"Create attribute set based on another set","Utórz zestaw cech na bazie innego zestawu"
"Create new attribute","Utwórz nową cechę"
"Create new category","Utwórz nową kategorię"
"Create new product","Utwórz nowy produkt"
"Cross-sells","Sprzedaże krzyżowe"
"Currently Shopping by:","Aktualnie kupujesz wg:"
"Custom Design","Indywidualny wygląd"
"Custom Options","Indywidualne opcje"
"Custom options","Indywidualne opcje"
"Customer Group","Grupa Klientów"
"Customers Reviews","Recenzje klientów"
"Customers Tagged Product","Produkt otagowany przez klientów"
"Data Type for Saving in Database","Typ danych do zapisania w bazie"
"Date & Time Custom Options","Indywidualne opcje daty i czasu"
"Date Fields Order","Kolejność pól daty"
"Date Subscribed","Data subskrypcji"
"Datetime","Data i czas"
"Decimal","Dziesiętne"
"Declare attribute value saving scope","Zadeklaruj zakres zapisywania wartości cechy"
"Default ""What's This"" Text Message","Domyślny tekst wiadomości "Co to jest?""
"Default Popup Text Message","Domyślny tekst wiadomości wyskakującego okienka"
"Default Price","Domyślna cena"
"Default Price Navigation Step","Domyślny krok cenowy w nawigacji"
"Default Qty","Domyślna ilość"
"Default Values","Wartości domyślne"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Definiuje zakres bazowej waluty ("Ustawienia waluty" > "Opcje waluty" > "Bazowa waluta")."
"Delete","Usuń"
"Delete Attribute","Usuń cechę"
"Delete Attribute Set","Usuń zestaw cech"
"Delete Category","Usuń kategorię"
"Delete Group Price","Usuń cenę dla grupy"
"Delete Option","Usuń opcję"
"Delete Row","Usuń rząd"
"Delete Search","Usuń wyszukiwanie"
"Delete Selected Group","Usuń zaznaczoną grupę"
"Delete Tier","Usuń poziom"
"Delete attribute","Usuń cechę"
"Delete category","Usuń kategorię"
"Delete product","Usuń produkt"
"Depends on design theme","Zależy od wyglądu motywu"
"Design","Wygląd"
"Details","Szczegóły"
"Disabled","Wyłączone"
"Disallowed file type.","Niedozwolony typ pliku."
"Display Actual Price","Pokaż aktualną cenę"
"Display Page Control","Pokazuj nawigację stron"
"Display Price Interval as One Price","Pokazuj przedział cenowy jako jedną cenę"
"Display Product Count","Pokazuj ilość produktów"
"Display Type","Typ wyświetlania"
"Display in Suggested Terms","Wyświetlaj w sugerowanych frazach"
"Double click on a group to rename it","Kliknij na grupie dwukrotnie aby zmienić jej nazwę"
"Double click on above image to view full picture","Kliknij na obrazek aby obejrzeć pełną wersję"
"Downloadable Information","Informacje o produktach do pobrania"
"Duplicate","Klonuj"
"Duplicate amount found.","Znaleziono zdubplikowaną wartość."
"Duplicate website group price customer group.","Duplikuj grupę użytkowników ceny dla grupy w tej witrynie."
"Duplicate website tier price customer group and quantity.","Duplikuj ilości i grupy użytkowników poziomów cen w tej witrynie."
"Duplicate website, country and state tax found.","Duplikuj witryne, kraj i znalezione strefy podatkowe."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Np. {{media url="sciezka/do/obrazka.jpg"}} {{skin url="sciezka/do/obrazka.gif"}}. Przetwarzanie dynamicznych adresów wpływa na wydajność katalogu."
"Edit","Edytuj"
"Edit Attribute Set '%s'","Edytuj zestaw cech '%s'"
"Edit Product Attribute","Edytuj cechę produktu"
"Edit Product Attribute ""%s""","Edytuj cechę produktu "%s""
"Edit Search","Edycja wyszukiwania"
"Edit Search '%s'","Edycja wyszukiwania '%s'"
"Edit Set Name","Edytuj nazwę zestawu"
"Email","E-mail"
"Email to a Friend","Wyślij znajomemu"
"Empty","Pusty"
"Enable MAP","Włącz MAP"
"Enable Qty Increments","Włącz zwiększanie ilości"
"Enable WYSIWYG","Włącz WYSIWYG"
"Enable for reindexing a big number of SKUs.","Włącz dla przeindeksowania dużej ilości SKU."
"Enabled","Włączone"
"Error during retrieval of option value: %s","Błąd podczas pobierania wartości opcji: %s"
"Exclude","Wyłącz"
"Expand All","Rozwiń wszystko"
"Failed","Nieudane"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Nie udało się skopiować pliku %s. Prosimy, usuń media z nieistniejącymi obrazkami i spróbuj ponownie."
"Failed to move file: %s","Nie udało się przenieść pliku: %s"
"Feature Products","Polecane produkty"
"Field is not complete","Pole jest niekompletne"
"File options format is not valid.","Niepoprawny format opcji pliku."
"File upload failed","Niepowodzenie podczas wysyłania pliku"
"Filter model name must be declared.","Nazwa typu filtra musi zostać zadeklarowana"
"Filter must be an object. Please set correct filter.","Filtr musi być obiektem. Wybierz prawidłowy filtr."
"Filterable (no results)","Filtrowalne (bez wyników)"
"Filterable (with results)","Filtrowalne (z wynikami)"
"First Name","Imię"
"Fixed","Stały"
"For internal use.","Do użytku wewnętrznego."
"For the last time placed.","dla ostaniego złożenia."
"Frontend","Interfejs klienta"
"Frontend Model","Model interfejsu klienta"
"Frontend Properties","Właściwości interfejsu klienta"
"Gallery","Galeria"
"General Information","Informacje ogólne"
"Get full information about attribute with list of options","Pobierz pełną informację o cesze z listą opcji"
"Get full information about custom option in product","Pobierz pełną informację o indywidualnej opcji w produkcie"
"Get list of available custom option types","Pobierz listę dostępnych typów indywidualnych opcji"
"Get list of non-default attributes by product type and attributes set","Pobierz listę nie-domyślnych cech wg typu produktu i zestawu cech"
"Get list of possible attribute types","Pobierz listę dostępnych typów cech"
"Get special price","Pobierz specjalną cenę"
"Global","Globalny"
"Globally Editable","Edytowalne globalnie"
"Go to Home Page","Przejdź na stronę główną"
"Grid","Siatka"
"Group add","Dodaj grupę"
"Group remove","Usuń grupę"
"Grouped Product","Grupowany produkt"
"Groups","Grupy"
"Home","Strona główna"
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","Nazwa kategorii zostanie użyta, jeśli puste."
"If empty, the Product Name will be used","Nazwa produktu zostanie użyta, jeśli puste."
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Jeśli nie określisz wartości opcji dla wybranego widoku sklepu to użyta zostanie domyślna wartość (Admin)."
"Image","Obrazek"
"Image content is not valid base64 data.","Zawartość obrazka to nie jest poprawny format base64."
"Image does not exist.","\obrazek nie istnieje."
"Image file was not found.","Plik obrazka nie został znaleziony."
"Image type and information need to be specified for each store view.","Typ i informacja o obrazku muszą być sprecyzowane dla każdego widoku sklepu."
"In Cart","W koszyku"
"In Stock","W magazynie"
"In stock","W magazynie"
"Incl. Tax","Z podatkiem"
"Index product and categories URL rewrites","Indeksuj przekierowania URL produktów i kategorii"
"Index product attributes for layered navigation building","Indeksuj cechy produktów do budowy warstwowej nawigacji"
"Index product prices","Indeksuj ceny produktów"
"Indexed category/products association","Zaindeksowane powiązania kategorii/produktów"
"Info","Informacje"
"Info Column Options Wrapper","Wrapper opcji kolumny informacjiu"
"Input Type","Typ pola"
"Integer","Liczba całkowita"
"Interval Division Limit","Limit wewnętrznego podziału"
"Invalid Tier Prices","Błędne poziomy cen"
"Invalid attribute %s","Nieprawidłowa cecha %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Nieprawidłowa opcja cechy wybrana dla cechy %s (%s), pomijam wpis."
"Invalid attribute set specified, skipping the record.","Określony nieprawidłowy zestaw cech, pomijam wpis."
"Invalid block: %s.","Nieprawidłowy blok: %s."
"Invalid category IDs.","Błędne ID kategorii."
"Invalid category.","Błędna kategoria."
"Invalid image file type.","Błędny typ pliku obrazka."
"Invalid image type.","Błędny typ obrazka."
"Invalid option ID specified for %s (%s), skipping the record.","Nieprawidłowy ID opcji dla %s (%s), pomijam wpis."
"Invalid product type specified, skipping the record.","Nieprawidłowy typ produktu, pomijam wpis."
"Invalid store specified","Wybrano nieprawidłowy sklep"
"Invalid store specified, skipping the record.","Wybrany nieprawidłowy sklep, pomijam wpis."
"Invalid tier prices. The product is not associated to the requested website.","Nieprawidłowe poziomy cenowe. Produkt nie jest przypisany do podanej witryny."
"Inventory","Magazyn"
"Is Default","Jest domyślny"
"Is Required","Jest wymagane"
"Items %s to %s of %s total","Produkty %s do %s z %s"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Produkty, które mają być niewidoczne w katalogu bądź w wynikach wyszukiwania, muszą być zaznaczone jako 'Wyłączone' dla danego sklepu."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Produkty, które mają być niewidoczne w katalogu bądź w wynikach wyszukiwania, muszą być zaznaczone jako 'Wyłączone' dla danego sklepu."
"Keep your eyes open for our special Back to School items and save A LOT!","Rozejrzyj się za promocjami i oszczędź dużo pieniędzy!"
"Label","Etykieta"
"Last Name","Nazwisko"
"Last Notification","Ostatnie powiadomienie"
"Layered Navigation","Nawigacja warstwowa"
"Learn More","Dowiedz się więcej"
"Line %d, Email: %s","Linia %d, E-mail: %s"
"Line %d, SKU: %s","Linia %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Link (powiązane, sprzedaże dodatkowe i krzyżowe)"
"Link product does not exist.","Link produktu nie istnieje."
"Link to a Specified Category","Link do wybranej kategorii"
"Link to a Specified Product","Link do wybranego produktu"
"List","Lista"
"List Mode","Tryb listy"
"List of Products that are set as New","Lista produktów oznaczonych jako Nowe"
"List of types","Lista typów"
"Manage Attribute Sets","Zarządzaj zestawami cech"
"Manage Attributes","Zarządzaj cechami"
"Manage Catalog Categories","Zarządzaj kategoriami katalogu"
"Manage Categories","Zarządzanie kategoriami"
"Manage Label / Options","Zarządzaj Etykietami/opcjami"
"Manage Options (values of your attribute)","Zarządzaj opcjami (wartościami cechy)"
"Manage Product Attributes","Zarządzaj cechami produktu"
"Manage Product Sets","Zarządzaj zestawami produktu"
"Manage Products","Zarządzaj produktami"
"Manage Stock","Zarządzaj stanami"
"Manage Titles (Size, Color, etc.)","Zarządzaj tytułami (rozmiar, kolor itp.)"
"Max Characters","Maks znaków"
"Maximal Depth","Maksymalna głębokość"
"Maximum Image Size","Maksymalny rozmiar obrazka"
"Maximum Number of Price Intervals","Maksymalna ilość przedziałów cenowych"
"Maximum Qty Allowed in Shopping Cart","Maksymalna ilość dozwolona w koszyku"
"Maximum allowed image size for '%s' is %sx%s px.","Maksymalna wielkość obrazka dla '%s' to %sx%s px."
"Maximum image height","Maksymalna wysokość obrazka"
"Maximum image width","Maksymalna szerokość obrazka"
"Maximum number of characters:","Maksymalna ilość znaków:"
"Maximum number of price intervals is 100","Maksymalna ilość przedziałów cenowych to 100"
"Media Image","Obrazek mediów"
"Minimum Advertised Price","Minimalna reklamowana cena"
"Minimum Lines per Page","Minimalna ilość linii na stronę"
"Minimum Qty Allowed in Shopping Cart","Minimalna ilość dozwolona w koszyku"
"Minimum Qty for Item\'s Status to be Out of Stock","Minimalna ilość po której produkt otrzyma status Brak w magazynie"
"Missing SKU, skipping the record.","Brak SKU, pomijam wpis."
"More Views","Więcej widoków"
"Move","Przenieś"
"Move category in tree","Przenieś produkt w drzewie"
"Multi update product","Masowa aktualizacja produktu"
"Must be in the allowed values list.","Musi być na liście dozwolonych wartości."
"N/A","N/D"
"Name","Nazwa"
"Name in %s","Nazwa w %s"
"New Product","Nowy produkt"
"New Product Attribute","Nowa cecha produktu"
"New Products","Nowe produkty"
"New Products Grid Template","Szablon siatki nowych produktów"
"New Products List Template","Szablon listy nowych produktów"
"New Root Category","Nowa kategoria bazowa"
"New Search","Nowe wyszukiwanie"
"New Set Name","Nowa nazwa zestawu"
"New Subcategory","Nowa podkategoria"
"New products","Nowe produkty"
"Next","Następne"
"No","Nie"
"No image","Brak obrazka"
"No layout updates","Brak aktualizacji układu"
"No options of this product are available.","Brak opcji dla tego produktu."
"No product collections found.","Nie znaleziono kolekcji produktów."
"None","Brak"
"Not Visible Individually","Niewidoczne pojedyńczo"
"Notify Low Stock RSS","RSS powiadomień o produktach na wyczerpaniu"
"Notify for Quantity Below","Powiadamiaj o ujemnej ilości"
"Number of Products per Page","Ilość produktów na stronie"
"Number of Products to Display","Ilość produktów do pokazania"
"Number of Uses","Ilość zastosowań"
"Number of results","Ilość wyników"
"Number of results (For the last time placed)","Ilość wyników (od ostatniego razu)"
"OK","OK"
"OR","LUB"
"Old Price:","Stara cena:"
"On Gesture","Na życzenie"
"Option validation failed to add product to cart.","Błąd walidacji opcji produktu podczas dodawania produktu do koszyka."
"Option values","Wartości opcji"
"Option:","Opcja:"
"Options","Opcje"
"Options Control","Kontrola opcji"
"Options is required","Opcje są wymagane"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Nasz zespół obsługi klienta jest dostępny 24h na dobę. Zadzwoń 801 801 801."
"Out of Stock","Brak w magazynie"
"Out of stock","Brak w magazynie"
"PM","po południu"
"Page Title Separator","Separator tytułu strony"
"Parent Category","Kategoria nadrzędna"
"Pending","Oczekuje"
"Pending Reviews RSS","RSS oczekujących recenzji"
"Percentage","Procent"
"Please add rows to option.","Dodaj rzędy do opcji."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Bądź ostrożny - kiedy klikniesz na rząd system załaduje pakiet i wszystkie niezapisane dane zostaną utracone."
"Please click on the Close Window button if it is not closed automatically.","Proszę kliknąć Zamknij Okno jeśli okno nie zamknie się automatycznie."
"Please enter a new group name","Wpisz nazwę nowej grupy"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Prosimy odświerzyć "Przekierowania URL katalogu" oraz "Cechy Produktu" w System -&gt; <a href=""%s"">Zarządzanie indeksem</a>"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","Prosimy odświerzyć "Przekeirowania URL katalogu" oraz "Cechy Produktu" w System -> <a href=""%s"">Zarządzanie indeksem</a>"
"Please refresh ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Prosimy odświerzyć "Przekierowania URL katalogu" w System -&gt; <a href=""%s"">Zarządzanie indeksem</a>"
"Please select a static block ...","Prosimy wybrać blok statyczny..."
"Please select items.","Prosimy wybrać produkty."
"Please select one or more attributes.","Wybierz jedną lub więcej cech"
"Please select product(s).","Prosimy wybrać produkt(y)."
"Please select products for attributes update","Wybierz produkty do uaktualnienia cech"
"Please set up merge date/time","Prosimy o określenie połączone daty/czasu."
"Please set up merge date/time later then present date","Prosimy o określenie połączone daty/czasu później niż obecnie."
"Please specify date required option(s).","Prosimy o określenie wymaganych opcji daty."
"Please specify the number of products, that will not be divided into subintervals.","Prosimy sprecyzowac ilość produktów, które nie będą dzielona na podprzedziały."
"Please specify the product required option(s)","Prosimy sprecyzować obowiązkowe opcje produktu"
"Please specify the product required option(s).","Prosimy sprecyzowac obowiązkowe opcje produktu."
"Please specify the product\'s option(s).","Prosimy sprecyzowac opcje produktu."
"Please specify the product\'s required option(s).","Prosimy sprecyzowac wymagane opcje produktu."
"Please specify the quantity of product(s).","Prosimy sprecyzowac ilość produktu."
"Please specify time required option(s).","Prosimy o określenie wymaganych opcji czasu."
"Please wait...","Prosimy czekać..."
"Position","Pozycja"
"Position in Layered Navigation","Pozycja w warstwowej nawigacji"
"Position of attribute in layered navigation block","Pozycja cechy w bloku warstwowej nawigacji"
"Prev","Poprzedni"
"Previous","Poprzedni"
"Price","Cena"
"Price Navigation Step Calculation","Oblicznani kroku cenowego nawigacji"
"Price Type","Typ ceny"
"Price is not available","Cena jest niedostępna"
"Price values for options should be specified in system base currency.","Wartości ceny dla opcji powinny być ustawione w podstawowej walucie systemu."
"Price:","Cena:"
"Price: %s","Cena: %s"
"Print This Page","Drukuj stronę"
"Product","Produkt"
"Product API","API produktu"
"Product Alerts","Alerty produktów"
"Product Attribute","Cecha produktu"
"Product Attributes","Cechy produktu"
"Product Categories","Kategorie produktu"
