" or "," lub "
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","Nie można globalnie współdzielić kont klienta. Dzieje się tak ponieważ niektóre konta klientów z takim samym adresem e-mail istnieją na różnych witrynach i nie mogą zostać połączone."
"Change Account Password","Zmień hasło do konta"
"Change Billing Address","Zmień adres rozliczeniowy"
"Change Password","Zmień hasło"
"Change Shipping Address","Zmień adres dla dostawy"
"City","Miasto"
"Company","Firma"
"Config","Konfiguracja"
"Configure","Konfiguruj"
"Confirm New Password","Potwierdź nowe hasło"
"Confirm Password","Potwierdź hasło"
"Confirmation Link Email","E-mail z linkiem potwierdzającym"
"Confirmed","Potwierdzony"
"Contact Information","Informacje kontaktowe"
"Continue Shopping","Kontynuuj zakupy"
"Country","Kraj"
"Create","Utwórz"
"Create New Account Options","Opcje tworzenia nowego konta"
"Create New Customer Account","Utwórz nowe konto klienta"
"Create Order","Utwórz zamówienie"
"Create an Account","Utwórz konto"
"Create customer","Utwórz klienta"
"Create customer address","Utwórz adres klienta"
"Current Password","Bieżące hasło"
"Customer","Klient"
"Customer API","API klienta"
"Customer Account Edit Form","Formularz edycji konta klienta"
"Customer Account Login Form","Formularz logowania klienta"
"Customer Account Logout Success","Pomyślne wylogowanie klienta"
"Customer Account Registration Form","Formularz rejestracji konta klienta"
"Customer Addresses","Adresy klienta"
"Customer Configuration","Konfiguracja klienta"
"Customer Forgot Password Form","Formularz zapomnianego konta klienta"
"Customer Group","Grupa Klientów"
"Customer Groups","Grupy klientów"
"Customer Information","Informacje o kliencie"
"Customer Login","Login klienta"
"Customer My Account (All Pages)","Moje konto (wszystkie strony)"
"Customer My Account Address Book","Moje konto - książka adresowa"
"Customer My Account Address Edit Form","Moje konto - formularz edycji adresu"
"Customer My Account Dashboard","Moje konto - panel"
"Customer Since","Klient od"
"Customer View","Widok klienta"
"Customer collection expected.","Oczekiwana kolekcja klienta."
"Customer email is required","Adres e-mail klienta jest wymagany"
"Customer website ID must be specified when using the website scope","ID witryny klienta musi być podane, kiedy używany jest zakres witryny"
"Customer will stay on the current page if ""No"" is selected.","Klient pozostanie na aktualnej stronie jeśli jest wybrane ""Nie""."
"Customers","Klienci"
"Customers Only","Tylko klienci"
"Customers Section","Sekcja klientów"
"DD","DD"
"Date","Data"
"Date Added","Data dodania"
"Date of Birth","Data urodzenia"
"Day","Dzień"
"Days in Wishlist","Dni w schowku"
"Default Addresses","Domyślne adresy"
"Default Billing Address","Podstawowy adres rozliczeniowy"
"Default Email Domain","Domyślna domena adresów e-mail"
"Default Group","Domyślna grupa"
"Default Shipping Address","Domyślny adres dostawy"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Domyślna wartość Wyłączania automatycznego zmieny grup w oparciu o VAT UE"
"Default Welcome Email","Domyślny e-mail powitalny"
"Delete","Usuń"
"Delete Address","Usuń adres"
"Delete Customer","Usuń klienta"
"Delete Customer Group","Usuń grupę klientów"
"Delete customer","Usuń klienta"
"Delete customer address","Usuń adres klienta"
"Deleted Stores","Usunięte sklepy"
"Details","Szczegóły"
"Disabled","Wyłączone"
"Edit","Edytuj"
"Edit Account Info","Edytuj informacje o koncie"
"Edit Account Information","Edytuj informacje o koncie"
"Edit Address","Edytuj adres"
"Edit Address Entry","Edytuj wpis adresu"
"Edit Customer Group ""%s""","Edytuj grupę klientów ""%s"""
"Edit Customer Groups","Edycja grup klientów"
"Edit Customer's Address","Edycja adresu klienta"
"Edit Group","Edytuj grupę"
"Edit Newsletters","Edycja newsletterów"
"Email","E-mail"
"Email Address","Adres e-mail"
"Email Sender","Nadawca"
"Email:","E-mail:"
"Enable Automatic Assignment to Customer Group","Włącz automatyczne przydzielanie do grup klientów"
"Entity collection is expected.","Kolekcja jednostek jest oczekiwana."
"Excel XML","Excel XML"
"Failed to confirm customer account.","Potwierdzenie konta klienta nie powiodło się."
"Fax","Faks"
"First Name","Imię"
"Forgot Email Template","Szablon wiadomości przypominającej o e-mailu"
"Forgot Password","Zapomniane hasło"
"Forgot Your Password","Nie pamiętasz hasła?"
"Forgot Your Password?","Nie pamiętasz hasła?"
"Forgot and Remind Email Sender","Nadawca wiadomości o zapomnianym haśle"
"Form Fields Before","Przed polami formularza"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","W Panelu swojego konta możesz podejrzeć swoją ostatnią aktywność oraz zaktualizować dane konta. Wybierz poniższy link, aby przejrzeć lub zmienić dane."
"Gender","Płeć"
"Gender is required.","Płeć jest wymagana."
"General Subscription","Ogólny newsletter"
"Generate Human-Friendly Customer ID","Wygeneruj przyjazny ID klienta"
"Global","Globalny"
"Group","Grupa"
"Group Information","Informacje o grupie"
"Group Name","Nazwa grupy"
"Group for Invalid VAT ID","Grupa dla nieprawdiłowych numerów VAT UE"
"Group for Valid VAT ID - Domestic","Grupa dla poprawnych numerów VAT UE - krajowe"
"Group for Valid VAT ID - Intra-Union","Grupa dla poprawnych numerów VAT UE - wewnątrzwspólnotowe"
"Guest","Gość"
"HTML","HTML"
"Hello, %s!","Witaj, %s!"
"ID","ID"
"IP Address","Adres IP"
"If you believe this is an error, please contact us at %s","Jeśli uważasz, że to błąd, skontaktuj się z nami - %s"
"If you have an account with us, please log in.","Jeżeli masz u nas konto, zaloguj się."
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Nieprawidłowa opcja cechy wybrana dla cechy %s (%s), pomijam wpis."
"Invalid attribute set specified, skipping the record.","Określony nieprawidłowy zestaw cech, pomijam wpis."
"Invalid billing address for (%s)","Niepoprawny adres dostawy dla (%s)"
"Invalid current password","Nieprawidłowe bieżące hasło"
"Invalid customer data","Nieprawidłowe dane klienta"
"Invalid email address ""%s"".","Niepoprawny adres e-mail ""%s""."
"Invalid email address.","Niepoprawny adres e-mail."
"Invalid login or password.","Nieprawidłowa nazwa użytkownika lub hasło."
"Invalid password reset token.","Nieprawidłowy token resetowania hasła."
"Invalid shipping address for (%s)","Niepoprawny adres dostawy dla (%s)"
"Invalid store specified, skipping the record.","Wybrany nieprawidłowy sklep, pomijam wpis."
"Invalid website, skipping the record, line: %s","Nieprawidłowa witryna, pomijam wpis, linia: %s"
"Last Activity","Ostatnia aktywność"
"Last Date Subscribed","Data ostatniej subskrypcji"
"Last Date Unsubscribed","Data ostatniego wypisania z newslettera"
"Last Name","Nazwisko"
"Last URL","Ostatni URL"
"Leave empty for default (15 minutes).","Pozostaw puste dla domyślnej wartości (15 minut)"
"Leave empty for default (2). Valid range: 1-4","Pozostaw puste dla domyślnej wartości (2). Dozwolone wartości: 1-4"
"Lifetime Sales","Całkowita sprzedaż"
"Log In","Zaloguj"
"Log Out","Wyloguj"
"Login","Logowanie"
"Login Information","Informacje o logowaniu"
"Login Options","Opcje logowania"
"Login and password are required.","Login i hasło są wymagane."
"Login or Create an Account","Zaloguj się lub utwórz konto"
"MM","MM"
"Manage Addresses","Zarządzaj adresami"
"Manage Customers","Zarządzaj klientami"
"Maximum length must be less then %s symbols","Maksymalna długość musi być mniejsza niż %s znaków"
"Missing email, skipping the record, line: %s","Brakujący e-mail, pomijam wpis, linia: %s"
"Missing email, skipping the record.","Brakujący e-mail, pomijam wpis."
"Missing first name, skipping the record, line: %s","Brakujące imię, pomijam wpis, linia: %s"
"Missing firstname, skipping the record.","Brak imienia, wpis zostanie pominięty."
"Missing last name, skipping the record, line: %s","Brakujące nazwisko, pomijam wpis, linia: %s"
"Missing lastname, skipping the record.","Brak nazwiska, wpis zostanie pominięty"
"Missing website, skipping the record, line: %s","Brakująca witryna, pomijam wpis, linia: %s"
"Month","Miesiąc"
"My Account","Moje konto"
"My Account Wrapper","Wrapper mojego konta"
"My Dashboard","Mój panel"
"My Orders","Moje zamówienia"
"Name","Nazwa"
"Name and Address Options","Opcje nazwy i adresu"
"Never","Nigdy"
"New Address","Nowy adres"
"New Address Entry","Nowy wpis adresu"
"New Customer","Nowy klient"
"New Customer Address","Nowy adres klienta"
"New Customer Group","Nowa grupa klienta"
"New Customer Groups","Nowe grupy klientów"
"New Customers","Nowi klienci"
"New Group","Nowa grupa"
"New Password","Nowe hasło"
"New account","Nowe konto"
"New account confirmation key","Klucz potwierdzający nowe konto"
"New account confirmed","Nowe konto zostało potwierdzone"
"New password field cannot be empty.","Pole nowego hasła nie może być puste."
"Newsletter","Newsletter"
"Newsletter Finish","Koniec newslettera"
"Newsletter Information","Informacje o newsletterze"
"Newsletter Received","Newsletter otrzymany"
"Newsletter Start","Start newslettera"
"Newsletter Subscription","Subskrypcja newslettera"
"Newsletters","Newslettery"
"No Items Found","Nie znaleziono produktów"
"No Newsletter Found","Nie znaleziono newslettera"
"No customer collections found","Nie znaleziono kolekcji klientów"
"No item specified.","Nie wybrano produktu."
"Not Sent","Nie wysłane"
"Not confirmed, can login","Nie potwierdzone, możliwość logowania"
"Not confirmed, cannot login","Nie potwierdzone, brak możliwości logowania"
"Number of Lines in a Street Address ","Ilość linii w polu adresu "
"Offline","Offline"
"Online","Online"
"Online Customers","Klienci online"
"Online Customers Options","Opcje klientów online"
"Online Minutes Interval","Długość sesji klientów"
"Order #","Zamówienie nr "
"Order Total","Suma zamówienia"
"Orders","Zamówienia"
"PDF","PDF"
"Password","Hasło"
"Password Management","Zarządzanie hasłami"
"Password Options","Opcje hasła"
"Password forgotten","Zapomniane hasło"
"Password:","Hasło:"
"Paused","Zatrzymany"
"Pending","Oczekuje"
"Per Website","Na witrynę"
"Personal Information","Dane osobiste"
"Please enter a number 1 or greater in this field.","Proszę o podanie cyfry 1 lub większej w tym polu."
"Please enter a valid date between %s and %s at %s.","Proszę o wprowadzenie poprawnej daty pomiędzy %s i %s %s."
"Please enter a valid date equal to or greater than %s at %s.","Proszę o wprowadzenie poprawnej daty równej lub większej niż %s na %s"
"Please enter a valid date less than or equal to %s at %s.","Proszę o wprowadzenie poprawnej daty mniejszej lub równej niż %s na %s"
"Please enter the city.","Proszę wpisać miasto."
"Please enter the country.","Proszę wpisać kraj."
"Please enter the first name.","Proszę wpisać imię."
"Please enter the last name.","Proszę wpisać nazwisko."
"Please enter the state/province.","Proszę wpisać region/województwo."
"Please enter the street.","Proszę wpisać ulicę."
"Please enter the telephone number.","Proszę wpisać numer telefonu."
"Please enter the zip/postal code.","Proszę wpisać kod pocztowy."
"Please enter your email address below. You will receive a link to reset your password.","Proszę podać swój adres e-mail poniżej. Otrzymasz link do zresetowania hasła."
"Please enter your email below and we\'ll send you confirmation link for it.","Proszę o wprowadzenie Twojego adresu e-mail, na ten adres przesłany zostanie link potwierdzający."
"Please enter your email.","Proszę wpisać adres e-mail"
"Please make sure your passwords match.","Proszę upewnić się, że hasła pasują do siebie."
"Please select a website which contains store view","Proszę, wybierz witrynę zawierającą widok sklepu"
"Please select region, state or province","Wybierz województwo"
"Please, check your email for confirmation key.","Proszę sprawdzić skrzynkę e-mail, powinien już tam czekać klucz potwierdzający."
"Prefix Dropdown Options","Rozwijane opcje prefiksu"
"Price","Cena"
"Product","Produkt"
"Product ID","ID produktu"
"Product Name","Nazwa produktu"
"Product Reviews","Recenzje produktu"
"Product Tags","Tagi produktu"
"Purchase On","Kupiono"
"Purchased On","Kupiono dnia"
"Qty","Ilość"
"Recent Orders","Ostatnie zamówienia"
"Records for %s store found.","Wpisy dla sklepu %s znalezione."
"Recovery Link Expiration Period (days)","Okres ważności linku odzyskującego (dni)"
"Redirect Customer to Account Dashboard after Logging in","Przekieruj klienta do Panelu konta po zalogowaniu."
"Refunded","Zwrócono"
"Registered Customers","Zarejestrowani klienci"
"Remind Email Template","Szablon e-maila przypominającego"
"Remind Password","Przypomnij hasło"
"Remove","Usuń"
"Require Emails Confirmation","Wymagaj potwierdzenia przez e-mail"
"Reset a Password","Resetuj hasło"
"Retrieve address data","Pobierz dane adresu"
"Retrieve address info","Pobierz informacje o adresie"
"Retrieve customer addresses","Pobierz adres klienta"
"Retrieve customer data","Pobierz dane klienta"
"Retrieve customer groups","Pobierz grupy klienta"
"Retrieve customer info","Pobierz informacje o kliencie"
"Retrieve customers","Pobierz klientów"
"Retrieve your confirmation link here","Pobierz swój link potwierdzający tutaj"
"Retrieve your password here","Tutaj możesz odzyskać hasło"
"SKU","SKU"
"Sales Statistics","Statystyki sprzedaży"
"Save","Zapisz"
"Save Address","Zapisz adres"
"Save Customer","Zapisz klienta"
"Save Customer Group","Zapisz grupę klienta"
"Save Password","Zapisz hasło"
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"Saved %d record(s)","Zapisano %d produkt(y)"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Wartości oddzielone średnikiem (;). <br/>Umieść średnik na początku .aby pozostawić pierwszą opcję pustą.<br/> Pozostaw puste dla wolnego pola tekstowego."
"Send Auto-Generated Password","Wyślij automatycznie wygenerowane hasło"
"Send From","Wysłane od"
"Send Welcome Email","Wyślij wiadomość powitalną"
"Send Welcome Email after Confirmation","Wyślij e-mail powitalny po potwierdzeniu"
"Send confirmation link","Wyślij link potwierdzający"
"Sending","Wysyłanie"
"Sent","Wysłano"
"Session Start Time","Czas rozpoczęcia sesji"
"Set as Default Billing Address","Ustaw jako domyślny adres rozliczeniowy"
"Set as Default Shipping Address","Ustaw jako domyślny adres dostawy"
"Share Customer Accounts","Udostępniaj konta klientów"
"Shipped to First Name","Dostarczane na imię"
"Shipped to Last Name","Dostarczane na nazwisko"
"Shipped to Name","Dostawa na nazwę"
"Shopping Cart","Koszyk"
"Shopping Cart - %d item(s)","Koszyk - %d produkt(ów)"
"Shopping Cart of %1$s - %2$d item(s)","Koszyk %1$s - %2$d produkt(ów)"
"Show Date of Birth","Pokazuj datę urodzenia"
"Show Gender","Pokazuj płeć"
"Show Middle Name (initial)","Pokazuj drugie imię (inicjał)"
"Show Prefix","Pokazuj prefiks"
"Show Suffix","Pokazuj sufiks"
"Show Tax/VAT Number","Pokazuj numer NIP"
"Show VAT Number on Frontend","Pokazuj numer VAT w sklepie"
"Sign Up for Newsletter","Zapisz się, aby otrzymywać newsletter"
"Skipping import row, required field ""%s"" is not defined.","Pominięto wpis, wymagane pole ""%s"" jest niezdefiniowane."
"Skipping import row, website ""%s"" field does not exist.","Pominięto wiersz, pole witryny ""%s"" nie istnieje."
"State/Province","Województwo"
"Status","Status"
"Store","Sklep"
"Store View","Widok sklepu"
"Street Address","Adres pocztowy"
"Street Address %s","Adres pocztowy %s"
"Subject","Temat"
"Submit","Wyślij"
"Subscribe to Newsletter","Subskrybuj newsletter"
"Subscribed to Newsletter?","Subskrybujesz newsletter?"
"Suffix Dropdown Options","Rozwijane opcje sufiksu"
"Tag Name","Nazwa tagu"
"Tax Calculation Based On","Obliczanie podatku oparte na"
"Tax Class","Klasa podatku"
"Tax/VAT number","Numer NIP"
"Telephone","Telefon"
"Text","Tekst"
"Text One Line","Tekst jedna linia"
"Thank you for registering with %s.","Dziękujemy za rejestrację w %s."
"The Date of Birth is required.","Data urodzenia jest wymagana."
"The TAX/VAT number is required.","Numer VAT jest wymagany."
"The VAT ID entered (%s) is not a valid VAT ID.","Podany numer (%s) nie jest prawidłowym numerem VAT."
"The VAT ID entered (%s) is not a valid VAT ID. The customer would belong to Customer Group %s.","Podany numer (%s) nie jest prawidłowym numerem VAT. Klient zostanie przypisany do grupy %s."
"The VAT ID is valid. The current Customer Group will be used.","Numer VAT jest poprawny. Aktualna grupa klientów zostanie użyta."
"The account information has been saved.","Konto zostało zapisane."
"The address does not belong to this customer.","Ten adres nie jest przypisany do tego klienta."
"The address has been deleted.","Adres został usunięty."
"The address has been saved.","Adres został zapisany."
"The customer ID and email did not match, skipping the record, line: %s","ID klienta i e-mail nie pasują, pomijam wpis, linia: %s"
"The customer does not have default billing address.","Klient nie posiada domyślnego adresu rozliczeiowego."
"The customer email (%s) already exists, skipping the record, line: %s","E-mail klienta (%s) już istnieje, pomijam wpis, linia: %s"
"The customer group has been deleted.","Grupa klienta została usunięta."
"The customer group has been saved.","Grupa klienta została zapisana."
"The customer is currently assigned to Customer Group %s.","Klient jest aktualnie przypisany do grupy klientów %s."
"The first name cannot be empty.","Imię nie może być puste."
"The group ""%s"" cannot be deleted","Grupa ""%s"" nie może być usunięta"
"The last name cannot be empty.","Nazwisko nie może być puste."
"The minimum password length is %s","Minimalna długość hasła wynosi %s"
"The password cannot be empty.","Pole hasła nie może być puste."
"The password must have at least 6 characters. Leading or trailing spaces will be ignored.","Hasło musi mieć co najmniej 6 znaków. Spacje na początku i końcu hasła będą pominięte."
"The suffix that goes after name (Jr., Sr., etc.)","Sufiks, który pojawia się po imieniu (Jr., Sr., itp.)"
"The title that goes before name (Mr., Mrs., etc.)","Tytuł pojawiający się przed imieniem (Mr., Mrs., itp.)"
"There are no items in customer's wishlist at the moment","Nie ma produktów w schowku klienta"
"There are no items in customer\'s shopping cart at the moment","W chwili obecnej klient nie posiada żadnych przedmiotów w koszyku"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","Istnieje już konto z takim adresem e-mail. Jeślimasz pewność, że to twój adres, <a href=""%s"">kliknij tutaj</a>, aby zresetować hasło i odzyskać dostęp do konta."
"There was an error validating the VAT ID.","Wystąpił błąd podczas sprawdzania poprawności numeru VAT."
"There was an error validating the VAT ID. The customer would belong to Customer Group %s.","Wystąpił błąd podczas sprawdzania poprawności numeru VAT. Klient zostanie przydzielony do grupy klientów %s."
"This account is not confirmed.","To konto nie zostało potwierdzone."
"This customer email already exists","Adres e-mail klienta już istnieje"
"This customer has no saved addresses.","Ten klient nie zapisał żadnych adresów."
"This email does not require confirmation.","Ten adres e-mail nie wymaga potwierdzenia."
"This email will be sent instead of default welcome email, after account confirmation.","Ten e-mail będzie wysłany zamiast domyślnej wiadomości powitalnej po potwierdzeniu konta."
"This is My Default %s Address","To jest mój domyślny adres %s"
"To Cart","Do koszyka"
"To show VAT number on frontend, set Show VAT Number on Frontend option to Yes.","W celu pokazania numerów VAT w sklepie, ustaw Pokazuj numer VAT w sklepie na Tak."
"Total","Razem"
"Type","Typ"
"Unable to save the customer.","Nie można zapisać klienta."
"Unknown","Nieznany"
"Unsubscribe from Newsletter","Wypisz z newslettera"
"Update","Aktualizuj"
"Update customer address data","Uaktualnij dane adresowe klienta"
"Update customer data","Aktualizuj dane klienta"
"Use as My Default %s Address","Użyj jako domyślnego adresu %s"
"Use as My Default Billing Address","Użyj jako domyślnego adresu rozliczeniowego"
"Use as My Default Shipping Address","Użyj jako domyślnego adresu dostawy"
"Use as my default billing address","Użyj jako domyślnego adresu rozliczeniowego"
"Use as my default shipping address","Użyj jako domyślnego adresu dostawy"
"VAT Number","Numer NIP (VAT UE)"
"VAT Request Date","Data zapytania o VAT"
"VAT Request Identifier","Identyfikator zapytania o VAT"
"Validate VAT Number","Sprawdza poprawność numeru VAT"
"Validate on Each Transaction","Sprawdzaj poprawność podczas każdej transakcji"
"Validation Error Group","Grup niepoprawnych numerów"
"View","Zobacz"
"View Order","Zobacz zamówienie"
"Visitor","Odwiedzający"
"Visitors Only","Tylko odwiedzający"
"Website","Witryna"
"Welcome Email","E-mail powitalny"
"Wishlist","Schowek"
"Wishlist - %d item(s)","Schowek - %d produkt(ów)"
"Would you like to change the Customer Group for this order?","Czy chces zmienić grupę klientów dla tego zamówienia?"
"Wrong confirmation key.","Zły klucz potwierdzający"
"Wrong customer account specified.","Wybrano nieprawidłowe konto klienta."
"Wrong email.","Błędny e-mail."
"Wrong transactional account email type","Wybrano nieprawidłowe konto dla maili transakcyjnych."
"YYYY","RRRR"
"Year","Rok"
"You are currently not subscribed to any newsletter.","Aktualnie nie subskrybujesz żadnego newslettera."
"You are currently not subscribed to our newsletter.","Nie korzystasz z naszego newslettera"
"You are currently subscribed to 'General Subscription'.","Jesteś zapisany na ogólny newsletter w naszym sklepie."
"You are currently subscribed to our newsletter.","Jesteś już zapisany na newsletter w naszym sklepie."
"You are now logged out","Wylogowanie zakończone. Do zobaczenia."
"You have logged out and will be redirected to our homepage in 5 seconds.","Wylogowanie zakończone, w ciągu 5 sekund zostaniesz przeniesiony na stronę główną."
"You have no additional address entries in your address book.","Nie masz innych wpisów w swojej książce adresowej."
"You have no additional entries in your address book.","Nie masz dodatkowych adresów w książce adresowej."
"You have no default billing address in your address book.","Nie masz podstawowego adresu płatnika w książce adresowej."
"You have no default entries in your address book.","Nie masz domyślnych adresów w książce adresowej."
"You have no default shipping address in your address book.","Nie masz podstawowego adresu wysyłki w książce adresowej."
"You have not set a default billing address.","Nie ustawiłeś domyślnego adresu płatności."
"You have not set a default shipping address.","Nie ustawiłeś domyślnego adresu wysyłki."
"You have placed no orders yet.","Nie składałeś jeszcze zamówień."
"You have placed no products yet.","Nie składałeś jeszcze zamówień."
"You will be charged tax.","Zostanie doliczony podatek"
"You will not be charged tax.","Nie zostanie doliczony podatek"
"Your Tax ID cannot be validated.","Twój numer VAT nie może zostać zweryfikowany."
"Your VAT ID was successfully validated.","Twój numer VAT został zweryfikowany."
"Your account balance is: %s","Stan konta: <strong>%s</strong>"
"ZIP","Kod pocztowy"
"ZIP/Post Code","Kod pocztowy"
"Zip/Postal Code","Kod pocztowy"
"n/a","n/d"
"or","lub"
"register","zarejestruj"
