"%s","%s"
"%s already exist.","%s już istnieje"
"%s already exists.","%s już istnieje"
"-- Please Select --","-- Prosimy wybrać --"
"Invalid layout update handle","Nieprawidłowa obsługa aktualizacji wyglądu"
"Invalid messages storage ""%s"" for layout messages initialization","Niesprawidłowe przechowywanie wiadomości "%s" dla inicjalizacji wiadomości układu"
"Invalid query","Nieprawidłowe zapytanie"
"Invalid transactional email code: %s","Nieprawidłowy kod e-maila sprzedażowego: %s"
"Invalid website\'s configuration path: %s","Nieprawidłowa ścieżka konfiguracj iwitryny: %s"
"JavaScript Settings","Ustawienia JavaScript"
"Layout","Układ"
"Leave empty for access from any location.","Pozostaw puste, aby umożliwić dostęp z każdej lokalizacji."
"List of stores","Lista sklepów"
"Locale","Kod języka"
"Locale Options","Opcje lokalizacji"
"Log Settings","Ustawienia logów"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Logowanie z Mage::log(). Plik jest znajduje się w {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","Logowanie z Mage::logException(). Plik znajduje się w {{base_dir}}/var/log"
"Login is Case Sensitive","Logowanie rozpoznaje wielkość liter"
"Logo Image","Obrazek logo"
"Logo Image Alt","ALT dla obrazka logo"
"Logo Image Src","SRC dla obrazka logo"
"Magento info","Informacje Magento"
"Magento info API","API Informacji Magento"
"Mail Sending Settings","Ustawienia wysyłania maili"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Upewnij się, że bazowy URL kończy się '/' (ukośnik), np. http://twojadomena/magento/"
"Manage Stores","Zarządzaj sklepami"
"Match expressions in the same order as displayed in the configuration.","Wskaż wyrażenia w porządku w jakim występują one w konfiguracji."
"Media Storage","Składowanie mediów"
"Merge CSS Files","Złącz pliki CSS"
"Merge JavaScript Files","Złącz pliki JavaScript"
"Miscellaneous HTML","Różny HTML"
"Miscellaneous Scripts","Różne skrypty"
"Model collection resource name is not defined.","Nazwa zasobu modelu kolekcji nie została zdefiniowana."
"Module ""%1$s"" cannot depend on ""%2$s"".","Moduł "%1$s" nie może wymagać modułu "%2$s"."
"Module ""%1$s"" requires module ""%2$s"".","Moduł "%1$s" wymaga modułu "%2$s"."
"Name","Nazwa"
"New Design Change","Nowa zmiana wyglądu"
"New Store","Nowy sklep"
"New Store View","Nowy widok sklepu"
"New Website","Nowa witryna"
"No","Nie"
"Offloader header","Nagłówek offloadera"
"PHP SOAP extension is required.","Rozszerzenie PHP SOAP jest wymagane."
"Package","Paczka"
"Pagination","Stronicowanie"
"Pagination Frame","Ramka stronicowania"
"Pagination Frame Skip","Pomiń ramkę stronicowania"
"Parent directory does not exist: %s","Katalog nadrzędny nie istnieje: %s"
"Path ""%value%"" is not available and cannot be used.","Ścieżka ""%value%"" jest niedostępna i nie może być użyta."
"Path ""%value%"" is protected and cannot be used.","Ścieżka ""%value%"" jest chroniona i nie może być użyta."
"Path ""%value%"" may not include parent directory traversal (""../"", ""..\\).""","Ścieżka ""%value%"" nie może zawierać przejść do nadrzędnych katalogów (""../"", ""..\\)."""
"Please define flag code.","Prosimy o zdefiniowanie kodu flagi."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Prosimy o wprowadzenie 6 lub więcej znaków. Początkowe lub końcowe spacje zostaną zignorowane."
"Please enter 7 or more characters. Password should contain both numeric and alphabetic characters.","Prosimy o wprowadzenie 7 lub więcej znaków. Hasło powinno zawierać zarówno znaki numeryczne jak i znaki alfabetu."
"Please enter a number 0 or greater in this field.","Prosimy o podanie cyfry 0 lub większej w tym polu."
"Please enter a number 1 or greater in this field.","Prosimy o podanie cyfry 1 lub większej w tym polu."
"Please enter a number greater than 0 in this field.","Prosimy o podanie numeru większego od 0 w tym polu."
"Please enter a number lower than 100.","Prosimy o podanie liczby mniejszej niż 100."
"Please enter a valid $ amount. For example $100.00.","Prosimy o wprowadzenie poprawnej kwoty w $. Na przykład $100.00."
"Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"".","Prosimy o wprowadzenie poprawnego klucza URL. Dla przykładu: ""przykladowa-strona"" lub ""przykladowa-strona.html""" lub ""innypoziom/przykladowa-strona""."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Prosimy o wprowadzenie poprawnego URL. Dla przykładu: http://www.strona.pl lub www.strona.pl"
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://)","Prosimy o wprowadzenie poprawnego URL. Wymagany jest protokół (http://, https:// lub ftp://)"
"Please enter a valid XML-identifier. For example something_1, block5, id-4.","Prosimy o wprowadzenie poprawnego identyfikatora XML. Na przykład cos_1, blok5, id-4"
"Please enter a valid credit card number.","Prosimy o wprowadzenie poprawnego numeru karty kredytowej."
"Please enter a valid credit card verification number.","Prosimy o wprowadzenie poprawnego weryfikacyjnego numeru karty kredytowej."
"Please enter a valid date between %s and %s","Prosimy o wprowadzenie poprawnej daty pomiędzy %s i %s"
"Please enter a valid date equal to or greater than %s","Prosimy o wprowadzenie poprawnej daty równej lub większej niż %s"
"Please enter a valid date less than or equal to %s","Prosimy o wprowadzenie poprawnej daty mniejszej lub równej niż %s"
"Please enter a valid date.","Prosimy o wprowadzenie poprawnej daty."
"Please enter a valid day (1-%d).","Prosimy wpisać poprawny dzień (1-%d)."
"Please enter a valid email address. For example johndoe@domain.com.","Prosimy o wprowadzenie poprawnego adresu e-mail. Dla przykładu: jankowalski@domena.pl."
"Please enter a valid fax number. For example (123) 456-7890 or 123-456-7890.","Prosimy o wprowadzenie poprawnego numeru faksu. Dla przykładu: (012) 345 67 89 lub 012 345 6789."
"Please enter a valid full date","Prosimy o wprowadzenie poprawnej pełnej daty"
"Please enter a valid month (1-12).","Prosimy wpisać poprawny miesiąc (1-12)."
"Please enter a valid number in this field.","Prosimy o wprowadzenie poprawnego numeru w tym polu."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Prosimy o wprowadzenie poprawnego numeru telefonu. Dla przykładu: (012) 345 67 89 lub 012 345 6789."
"Please enter a valid social security number. For example 123-45-6789.","Prosimy o wprowadzenie poprawnego numeru ubezpieczenia społecznego. Dla przykładu: 123-45-6789."
"Please enter a valid year (1900-%d).","Prosimy wpisać poprawny rok (1900-%d)."
"Please enter a valid zip code.","Prosimy o wprowadzenie poprawnego kodu pocztowego."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Prosimy o wprowadzenie poprawnego kodu pocztowego. Dla przykładu: 90602 lub 90-602."
"Please enter issue number or start date for switch/solo card type.","Prosimy o podanie numeru wydania lub daty rozpoczęcia dla kart typu switch/solo."
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%.","Prosimy o wprowadzenie poprawnej długości CSS. Na przykład 100px lub 77pt lub 20em lub .5ex lub 50%."
"Please make sure your passwords match.","Prosimy upewnić się, że hasła psują do siebie."
"Please select State/Province.","Prosimy o wybór regionu."
"Please select a file","Wybierz plik"
"Please select an option.","Prosimy o wybranie opcji."
"Please select one of the above options.","Prosimy o wybór jednej z powyższych opcji."
"Please select one of the options.","Prosimy o wybór jednej z opcji."
"Please set available and/or protected paths list(s) before validation.","Prosimy ustawić listę dostępnych i/lub chronionych ścieżek przed walidacją."
"Please specify either a category or a product, or both.","Prosimy podać kategorię, produkt lub oba łącznie."
"Please use letters only (a-z or A-Z) in this field.","Prosimy o używanie jedynie liter (a-z lub A-Z) w tym polu."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Prosimy o używanie tylko liczb w tym polu. Prosimy o unikanie spacji, przecinków lub kropek."
"Please use only letters (a-z or A-Z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Prosimy o używanie jedynie liter (a-z lub A-Z) lub cyfr (0-9) w tym polu. Spacje i inne znaki nie są dozwolone."
"Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field.","Prosimy o używanie jedynie liter (a-z lub A-Z), cyfr (0-9) lub spacji i # w tym polu."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Prosimy o używanie jedynie liter (a-z lub A-Z), cyfr (0-9) lub podkreślnika (_) w tym polu, pierwszy znak powinien być literą."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Prosimy o używanie jedynie liter (a-z), cyfr (0-9) lub podkreślnika (_) w tym polu, pierwszy znak powinien być literą."
"Please use only visible characters and spaces.","Prosimy używać tylko widocznych znaków i spacji."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Prosimy o użycie następującego formatu daty: dd/mm/rrrr. Dla przykładu: 17/03/2006."
"Please wait, loading...","Prosimy czekać, trwa ładowanie..."
"Polls","Ankiety"
"Port (25)","Port (25)"
"Profiler","Profiler"
"Recovery Link Expiration Period (days)","Okres ważności linku odzyskującego (dni)"
"Request Path for Specified Store","Wymagaj ścieżki dla określonego sklepu"
"Request path length exceeds allowed %s symbols.","Maksymalna długość zapytania musi być mniejsza niż %s znaków."
"Requested file may not include parent directory traversal (""../"", ""..\\ notation)""","Żądany plik nie może zawierać przejść do nadrzędnych (""../"", ""..\\ notation)"" katalogów"
"Requested invalid store ""%s""","Wywołano nieprawidłowy sklep ""%s"""
"Resource is not set.","Źródło nie zostało określone."
"Retrieve info about current Magento installation","Pobierz informacje o bieżącej instalacji Magento"
"Retrieve store data","Pobierz dane sklepu"
"Retrieve store list","Pobierz listę sklepów"
"Return-Path Email","E-mail dla odpowedzi"
"Root Category","Kategoria bazowa"
"Sales Representative","Przedstawiciel handlowy"
"Sales Representative Contact Email","E-mail kontaktowy przedstawiciela handlowego"
"Sales Representative Contact Name","Nazwa do kontaktu przedstawiciela handlowego"
"Save","Zapisz"
"Save Store","Zapisz sklep"
"Save Store View","Zapisz widok sklepu"
"Save Website","Zapisz witrynę"
"Search Engines Optimization","Optymalizacja dla wyszukiwarek"
"Secure","Bezpieczny"
"Security","Bezpieczeństwo"
"Select Date","Wybierz datę"
"Select Media Database","Wybierz bazę danych mediów"
"Sender Email","E-mail nadawcy"
"Sender Name","Nazwa nadawcy"
"Services","Usługi"
"Session Cookie Management","Zarządzanie cookie sesji"
"Session Lifetime (seconds)","Czas ważności sesji (sekundy)"
"Session Validation Settings","Ustawienia walidacji sesji"
"Set Return-Path","Ustaw odpowiedź do"
"Set as Default","Ustaw jako domyślne"
"Skin (Images / CSS)","Skórka (Obrazki / CSS)"
"Sort Order","Kolejność sortowania"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Wybrana data/czas ""%1$s"" nie odpowiada formatowi ""%2$s""."
"Start date cannot be greater than end date.","Data początkowa nie może być późniejsza niż data końcowa."
"Startup Page","Strona startowa"
"Status","Status"
"Storage Configuration for Media","Konfiguracja składowania mediów"
"Store","Sklep"
"Store API","API sklepu"
"Store Contact Address","Adres kontaktowy sklepu"
"Store Contact Information","Informacje kontaktowe sklepu"
"Store Contact Telephone","Telefon sklepu"
"Store Email Addresses","Adres e-mail sklepu"
"Store Information","Informacje o sklepie"
"Store Name","Nazwa sklepu"
"Store View","Widok sklepu"
"Store View Information","Informacje o widoku sklepu"
"Store View Name","Nazwa widoku sklepu"
"Store view doesn't exist","Widok sklepu nie istnieje"
"Store with the same code","Sklep z takim samym kodem"
"System","System"
"System Log File Name","Nazwa pliku systemowego logu"
"Template Path Hints","Podpowiedzi ścieżek szablonów"
"Template Settings","Ustawienia szablonów"
"Template Variables","Zmienne szablonów"
"Templates","Szablony"
"Text length does not satisfy specified text range.","Długość tekstu nie odpowiada podanemu zasięgowi tekstu."
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","Wprowadzony %s jest niepoprawny. Upewnij się ze pasuje do formatu ""http://domena.pl/""."
"The From Date value should be less than or equal to the To Date value.","Data początkowa nie może być późniejsza niż data końcowa"
"The store code may contain only letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Kod sklepu powinien składać się jedynie z liter (a-z), cyfr (0-9) lub podkreślenia (_), pierwszy znak powinien być literą"
"The store does not exist","Sklep nie istnieje"
"The store has been deleted.","Sklep został usunięty."
"The store has been saved.","Sklep został zapisany."
"The store view has been deleted.","Widok sklepu został usunięty."
"The store view has been saved","Widok sklepu został zapisany"
"The template Name must not be empty.","Nazwa szablonu nie może być pusta."
"The value is not within the specified range.","Wartość nie znajduje się w podanym zakresie."
"The website does not exist.","Witryna nie istnieje."
"The website has been deleted.","Witryna została usunięta."
"The website has been saved.","Witryna została zapisana."
"Themes","Motywy"
"This category and all its child elements","Ta kategoria wraz ze wszystkimi jej podrzędnymi elementami"
"This category and its child categories only","Ta kategoria tylko ze wszystkimi jej podkategoriami"
"This category and its products only","Tylko ta kategoria i jej produkty"
"This category only","Tylko ta kategoria"
"This date is a required value.","Data jest polem wymaganym."
"This is a required field.","To pole jest wymagane."
"This store cannot be deleted.","Ten sklep nie może być usunięty."
"This store view cannot be deleted.","Ten widok sklepu nie może być usunięty."
"This website cannot be deleted.","Ta witryna nie może zostać usunięta."
"This will be displayed just before body closing tag.","To będzie wyświetlane tuż przed zamykającym znacznikiem body."
"This will be included before head closing tag in page HTML.","To będzie załączone przed znacznikiem zamykającym sekcję HEAD w HTML."
"Timezone","Strefa czasowa"
"Title Prefix","Przedrostek tytułu"
"Title Suffix","Przyrostek tytułu"
"Transactional Emails","E-maile sprzedażowe"
"Translate Inline","Tłumaczenie liniowe"
"Translate, blocks and other output caches should be disabled for both frontend and admin inline translations.","Pamięć podręczna tłumaczeń , bloków i wyjścia powinna być wyłączona dla katalogu i admina podczas tłumaczenia liniowego."
"Translations","Tłumaczenia"
"Two and more slashes together are not permitted in request path","Dwa i więcej ukośników razem nie mogą się znajdować w ścieżce polecenia."
"Two and more slashes together are not permitted in url rewrite suffix","Dwa i więcej ukośników razem nie mogą się znajdować w sufiksie przekierowania url."
"Unable to create directory: %s","Nie udało się utworzyć katalogu: %s"
"Unable to delete store view. Please, try again later.","Nie można usunąć widoku sklepu. Prosimy spróbować później."
"Unable to delete store. Please, try again later.","Nie można usunąć sklepu. Prosimy spróbować później."
"Unable to delete website. Please, try again later.","Nie można usunąć witryny. Prosimy spróbować później."
"Unable to proceed. Please, try again","Nie można kontynuować. Prosimy spróbować później"
"Unable to proceed. Please, try again.","Nie można kontynuować. Prosimy spróbować później"
"Unable to save file ""%s"" at ""%s""","Nie udało się zapisać pliku "%s" o "%s""
"Unable to save file: %s","Nie udało się zapisać pliku: %s"
"Unknown old style column type definition: {$definition}.","Nieznana definicja typu kolumny starszego stylu: ($definition)."
"Unknown scope ""%s"".","Nieznany zakres "%s"."
"Unsecure","Niezabezpieczony"
"Url Options","Opcje URL"
"Use Custom Admin Path","Użyj niestandardowej ścieżki dla admina"
"Use Custom Admin URL","Użyj niestandardowego adresu URL dla admina"
"Use HTTP Only","Użyj tylko HTTP"
"Use SID on Frontend","Używaj SID w katalogu"
"Use Secure URLs in Admin","Użyj zabezpieczonych URLi dla admina"
"Use Secure URLs in Frontend","Użyj zabezpieczonych URLi w katalogu"
"Use Web Server Rewrites","Używaj przekierowań serwera"
"VAT Number","Numer NIP (VAT UE)"
"Validate HTTP_USER_AGENT","Waliduj HTTP_USER_AGENT"
"Validate HTTP_VIA","Waliduj HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Waliduj HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Waliduj REMOTE_ADDR"
"Validation has failed.","Weryfikacja nie powiodła się."
"Values less than 60 are ignored. Note that changes will apply after logout.","Wartości mniejsze niż 60 są ignorowane. Pamiętaj, że zmiany zostaną zastosowane po wylogowaniu."
"Variable Code must be unique.","Kod zmiennej musi być unikalny."
"Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.","Ostrzeżenie! Uruchomienie tej funkcjonalności nie jest zalecane w środowisku produkcyjnym ponieważ może stwarzać potencjalne ryzyko bezpieczeństwa."
"Web","Sieć"
"Website","Witryna"
"Website Information","Informacje o witrynie"
"Website Name","Nazwa witryny"
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Kod sklepu powinien składać się jedynie z liter (a-z), cyfr (0-9) lub podkreślenia (_), pierwszy znak powinien być literą"
"Website with the same code","Witryna z takim samym kodem"
"Weekend Days","Dni weekendu"
"Welcome Text","Tekst powitalny"
"Wrong file info format","Nieprawidłowy format informacji pliku"
"Wrong number of arguments for %s","Zła liczba argumentów dla %s"
"Wrong old style column type definition: {$definition}.","Nieznana definicja typu kolumny starszego stylu: ($definition)."
"Yes","Tak"
"You will have to log in after you save your custom admin path.","Musisz się zalogować po tym jak zapiszesz swoją niestandardową ściezkę admina."
"Your design change for the specified store intersects with another one, please specify another date range.","Twoja aktuaizacja wyglądu dla wybranego sklepu nakłada się z inną, wybierz proszę inny zakres dat."
"database ""%s""","baza danych "%s""
